,FP Precision@90 - mean_tracin_,FP Precision@90 - mean_tracin_pos_,FP Precision@90 - mean_tracin_self_,TP Precision@90 - mean_tracin_,TP Precision@90 - mean_tracin_pos_,TP Precision@90 - mean_tracin_self_,FP EF10 - mean_tracin_,FP EF10 - mean_tracin_pos_,FP EF10 - mean_tracin_self_,TP EF10 - mean_tracin_,TP EF10 - mean_tracin_pos_,TP EF10 - mean_tracin_self_,FP BEDROC20 - mean_tracin_,FP BEDROC20 - mean_tracin_pos_,FP BEDROC20 - mean_tracin_self_,TP BEDROC20 - mean_tracin_,TP BEDROC20 - mean_tracin_pos_,TP BEDROC20 - mean_tracin_self_
streptokinase,0.7263589640088077,0.784431213053341,0.8036670689581401,0.24213803612719925,0.2868467938786194,0.2916613403566786,0.5409439124774392,0.584192266474669,0.5985178543294204,0.061809709345976516,0.07322235382775166,0.07445134586552145,0.7199205167731957,0.8054005005376323,0.8208871446222219,0.2308618946974172,0.30826189819855637,0.3166413668864695
toxin_B,1.0,1.0,1.0,0.1325804828973843,0.1325804828973843,0.11907276995305165,0.9640883977900552,0.9640883977900552,0.9640883977900552,0.004761177562613248,0.004761177562613248,0.004276093948590252,0.9997457920214725,0.9997457920214725,0.9998147113958009,0.3044047260067374,0.3044047260067374,0.26693194495155476
ubiquitin,0.718140764487188,0.718140764487188,0.7275126144451691,0.22339592679505707,0.2236044338842981,0.2079552726067527,0.5281296769015438,0.5281296769015438,0.535021852273057,0.059107775399497006,0.059162943774215715,0.055022370921102584,0.7220623714188813,0.7220623371865884,0.7264308086404107,0.23518993266140234,0.1975135175450111,0.1888694085748763
zinc_finger,0.5633358299124481,0.5633358299124481,0.5591772151898735,0.5737130960612141,0.5737130960612141,0.5591495967961244,0.27485336862663806,0.27485336862663806,0.2728243670886076,0.29379662580554106,0.29379662580554106,0.2863387048109185,0.5642451005331698,0.5642451005331698,0.5534356524829481,0.6062064241328524,0.6062064241328524,0.5645931988149597
fatty_acid_synthase,0.05603672152173742,0.05603672152173742,0.05730654354320046,0.9294884854491523,0.9294884854491523,0.899672735061041,0.0026508020081789977,0.0026508020081789977,0.0027108705966530475,0.8855192831671792,0.8855192831671792,0.8571139588150289,0.129310780524241,0.12944836375718016,0.12726490620300163,0.8845764015198634,0.8845764015234217,0.877442408658557
RNA_binding,0.9934298646421729,0.9905555266599363,0.9905202548463186,0.002848849452075198,0.0,0.0,0.9915572353026023,0.9886883154880985,0.9886531101623481,5.370121493072945e-06,0.0,0.0,0.850947757910595,0.7745913468626162,0.7679972418731433,0.06493070984491851,6.433126974840764e-08,7.433306798481774e-08
transcription3,0.9694275545372699,0.9300961783351909,0.9767374545714587,0.30233369635614904,0.30233369635614904,0.2878511516501718,0.836199838877338,0.8022737447725536,0.8425051447273617,0.04154949747820964,0.04154949747820964,0.039559172013362336,0.9589473693813169,0.9215984790236001,0.9597170206332073,0.3124670403035829,0.3102244824137869,0.2984597914247193
transcription_4,0.22045042440692172,0.22045042440692172,0.212373074649104,0.9959397314507882,0.9959397314507882,0.9897541028826412,0.01599482574561262,0.01599482574561262,0.015408771977695242,0.9236791200206047,0.9236791200206047,0.9179422910015663,0.2882165761503078,0.2882079453956682,0.2722881825149713,0.9950433248842225,0.9950430319019828,0.9945090149205871
ion_channel,0.32658309176691025,0.31963864732246583,0.33785646241009337,0.93823802305696,0.93823802305696,0.9314037674337259,0.05193941619633927,0.050834979379659896,0.05373232068078143,0.7890216784289082,0.7890216784289082,0.7832743353132592,0.3239129107377525,0.3190840078809462,0.32916542553020356,0.9217512525995014,0.9217512366808884,0.9178396002314015
ion_channel3,0.5155967440574059,0.5155967440574059,0.48982359785047774,0.7157251845811331,0.7157251845811331,0.7120225541310087,0.1780094121063668,0.1780094121063668,0.16911125156267667,0.46862156958463663,0.46862156958463663,0.46619726968502545,0.5116536884487733,0.5116536884746519,0.5111847763821389,0.680989123650569,0.680989123650569,0.6954490136251019
transcription2,0.9132006006130181,0.9132006006130181,0.9028574332870427,0.2894547062188324,0.2894547062188324,0.29183331806574164,0.7182152544303271,0.7182152544303271,0.7100805460785647,0.06180397391153845,0.06180397391153845,0.06231185186747988,0.9141671143888587,0.914164941020007,0.9071279488115802,0.2968169486291742,0.2968161891956703,0.2841266125601255
