,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
11,C=C(C)CSc1ncc(-c2cccc(C(F)(F)F)c2)cn1,-0.0,1.0,1.0,0.0,-55.74888229370117,1.0,0.0,-56.326385498046875,0.0,0.0,-390.64263916015625,0.0,0.0,15.93625498007968,0.0,1.0,0.0
12,C=C1CC(COc2ccc3c(C)c(Cl)c(=O)oc3c2)(c2ccccc2)OC1=O,-0.0,1.0,0.0,0.0,-53.029964447021484,0.0,0.0,-53.6082649230957,0.0,0.0,-179.0609130859375,0.0,0.0,5.577689243027883,0.0,1.0,0.0
13,C=CCC[C@@H](Cc1ccc(F)cc1)C(=O)OC[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC=C)CC(=O)NCCO,-0.0,1.0,1.0,0.0,-55.660980224609375,1.0,0.0,-56.2362174987793,1.0,0.0,-676.5862426757812,0.0,0.0,13.745019920318722,0.0,1.0,0.0
14,C=CCN1C(=O)/C(=C/c2ccc(OC(C)=O)c(OCC)c2[N+](=O)[O-])SC1=S,-0.0,1.0,0.0,0.0,-51.97366714477539,0.0,0.0,-52.54643249511719,0.0,0.0,-160.94615173339844,0.0,0.0,49.60159362549801,1.0,-0.0,1.0
15,C=CCNC(=O)/C(=C\c1ccc(OC)cc1)NC(=O)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-52.921993255615234,0.0,0.0,-53.499916076660156,0.0,0.0,-154.48976135253906,0.0,0.0,51.19521912350598,0.0,1.0,0.0
16,C=CCOC(=O)COc1ccc2c(C)c(CC)c(=O)oc2c1,-0.0,1.0,1.0,0.0,-55.70237731933594,1.0,0.0,-56.26861572265625,1.0,0.0,-811.880126953125,0.0,0.0,39.4422310756972,0.0,1.0,0.0
17,C=CCOc1c(Br)cc(/C=N/Nc2ccc(C(=O)O)cc2)cc1OCC,-0.0,1.0,1.0,0.0,-55.66236877441406,1.0,0.0,-56.23185348510742,1.0,0.0,-490.7280578613281,0.0,0.0,8.76494023904382,0.0,1.0,0.0
18,C=CCOc1c(OC)cc(/C=N/Nc2cccc(C(=O)O)c2)c(Br)c1Br,-0.0,1.0,0.0,0.0,-55.32329177856445,0.0,0.0,-55.90306854248047,0.0,0.0,-308.7855224609375,0.0,0.0,39.8406374501992,0.0,1.0,0.0
19,C=CCn1c(=S)[nH]c2cc(C(=O)N3CCN(c4ccccc4OC)CC3)ccc2c1=O,1.0,0.0,1.0,0.0,-55.42822265625,1.0,0.0,-55.99089813232422,1.0,0.0,-789.3075561523438,0.0,0.0,8.167330677290838,0.0,1.0,0.0
20,C=CCn1c(SCc2ccc(Br)cc2F)nc2cc(C(=O)O)ccc2c1=O,-0.0,1.0,0.0,0.0,-54.78647994995117,0.0,0.0,-55.371238708496094,0.0,0.0,-212.46435546875,0.0,0.0,23.30677290836654,0.0,1.0,0.0
21,C=CCn1cc(C(=O)NCc2ccco2)c(=O)c2cc(S(=O)(=O)N3CCCCCC3)ccc21,-0.0,1.0,0.0,0.0,-54.409523010253906,0.0,0.0,-54.99077606201172,0.0,0.0,-346.3240661621094,0.0,0.0,22.11155378486056,0.0,1.0,0.0
22,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1,-0.0,1.0,0.0,0.0,-55.03895568847656,0.0,0.0,-55.62513732910156,0.0,0.0,-365.3941650390625,0.0,0.0,60.5577689243028,1.0,-0.0,1.0
23,CC(=O)N(C1CC(C)C(C#N)(C#N)C1(C#N)C#N)N(C)C,-0.0,1.0,0.0,0.0,-53.450889587402344,0.0,0.0,-54.03200912475586,0.0,0.0,-185.3477325439453,0.0,0.0,8.366533864541838,1.0,-0.0,1.0
24,CC(=O)N1CCN(c2ccccc2NC(=O)c2ccc(-c3cccc([N+](=O)[O-])c3)o2)CC1,-0.0,1.0,0.0,0.0,-51.04753494262695,0.0,0.0,-51.612060546875,0.0,1.0,-150.05807495117188,0.0,0.0,32.66932270916335,0.0,1.0,0.0
25,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-50.66716003417969,0.0,0.0,-51.229957580566406,0.0,1.0,-150.722412109375,0.0,0.0,24.701195219123505,0.0,1.0,0.0
26,CC(=O)N1N=C(c2cccc([N+](=O)[O-])c2)OC1c1cccc(Br)c1,-0.0,1.0,0.0,0.0,-50.80514907836914,0.0,0.0,-51.36906433105469,0.0,1.0,-150.3707733154297,0.0,0.0,7.768924302788842,0.0,1.0,0.0
27,CC(=O)NC(=S)Nc1sc2c(c1C#N)CCCCC2,-0.0,1.0,1.0,0.0,-55.59264373779297,1.0,0.0,-56.17001724243164,1.0,0.0,-463.6908874511719,0.0,0.0,14.7410358565737,0.0,1.0,0.0
28,CC(=O)NNc1nc(-c2ccccc2)cs1,-0.0,1.0,0.0,0.0,-54.9151496887207,0.0,0.0,-55.429771423339844,1.0,0.0,-2037.390380859375,0.0,0.0,39.043824701195206,0.0,1.0,0.0
29,CC(=O)Nc1ccc(NC(=O)c2ccccc2S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,-0.0,1.0,0.0,0.0,-50.362449645996094,0.0,0.0,-50.922996520996094,0.0,0.0,-152.44139099121094,0.0,0.0,18.525896414342625,0.0,1.0,0.0
30,CC(=O)OCCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],-0.0,1.0,0.0,0.0,-51.850406646728516,0.0,0.0,-52.422210693359375,0.0,0.0,-154.64883422851562,0.0,1.0,64.14342629482071,0.0,1.0,0.0
31,CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],-0.0,1.0,0.0,0.0,-54.018795013427734,0.0,0.0,-54.60060119628906,0.0,0.0,-182.95257568359375,0.0,0.0,51.19521912350598,0.0,1.0,0.0
32,CC(=O)c1cc(C#N)c(SCCC(C)C)nc1C,-0.0,1.0,1.0,0.0,-55.66373062133789,1.0,0.0,-56.23843765258789,1.0,0.0,-508.52166748046875,0.0,0.0,12.549800796812743,0.0,1.0,0.0
33,CC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccc(N3CCOCC3)cc2)cc1,-0.0,1.0,0.0,0.0,-52.54787826538086,0.0,0.0,-53.12134552001953,0.0,0.0,-198.26918029785156,0.0,0.0,10.159362549800798,0.0,1.0,0.0
34,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc(-c4cnc(C5CC5)o4)cc3)CC2)cc1,-0.0,1.0,1.0,0.0,-55.47942352294922,1.0,0.0,-56.05417251586914,1.0,0.0,-606.9055786132812,0.0,0.0,14.14342629482072,0.0,1.0,0.0
35,CC(=O)c1cccc(-c2ccnc3c2CC(C(=O)Nc2ccc(C(C)C)cc2)O3)c1,-0.0,1.0,0.0,0.0,-54.79518508911133,0.0,0.0,-55.379150390625,0.0,0.0,-295.9642333984375,0.0,0.0,9.36254980079682,0.0,1.0,0.0
36,CC(=O)c1cccc(-c2ccnc3c2CC(C(=O)Nc2ccc(F)c(Cl)c2)O3)c1,-0.0,1.0,0.0,0.0,-54.37114715576172,0.0,0.0,-54.95597839355469,0.0,0.0,-240.1474151611328,0.0,0.0,20.91633466135458,0.0,1.0,0.0
37,CC(=O)c1cccc(-c2ccnc3c2CC(C(=O)Nc2cccc(OC(F)(F)F)c2)O3)c1,-0.0,1.0,0.0,0.0,-54.345821380615234,0.0,0.0,-54.931121826171875,0.0,0.0,-234.13352966308594,0.0,0.0,7.370517928286857,0.0,1.0,0.0
38,CC(=O)c1cccc(OC(=O)Oc2cccc(C(C)=O)c2)c1,-0.0,1.0,1.0,0.0,-55.43803787231445,1.0,0.0,-56.0229377746582,0.0,0.0,-391.37567138671875,1.0,0.0,0.1992031872509988,0.0,1.0,0.0
39,CC(=O)c1cccc2c1OC(C)C(=O)N2Cc1ccc(Cl)cc1,-0.0,1.0,1.0,0.0,-55.74160385131836,1.0,0.0,-56.314029693603516,1.0,0.0,-701.9327392578125,0.0,0.0,14.7410358565737,0.0,1.0,0.0
40,CC(C(=O)NCCC1=CCCCC1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-53.58832550048828,0.0,0.0,-54.170101165771484,0.0,0.0,-155.55020141601562,0.0,0.0,39.043824701195206,0.0,1.0,0.0
41,CC(C)(C)C(=O)Nc1nc(C2CCCN2S(=O)(=O)c2ccc(Cl)cc2)cs1,-0.0,1.0,0.0,0.0,-54.408512115478516,0.0,0.0,-54.99236297607422,0.0,0.0,-259.98138427734375,0.0,0.0,10.159362549800798,0.0,1.0,0.0
42,CC(C)(C)C(=O)OCc1ccc(C2=CC(=O)CC(C)(C)C2=O)cc1,-0.0,1.0,1.0,0.0,-55.54509735107422,1.0,0.0,-56.12763977050781,1.0,0.0,-575.7018432617188,0.0,1.0,64.54183266932272,0.0,1.0,0.0
43,CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1,-0.0,1.0,0.0,0.0,-54.30221176147461,0.0,0.0,-54.88636779785156,0.0,0.0,-229.98289489746094,1.0,0.0,0.7968127490039812,0.0,1.0,0.0
44,CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-50.69987487792969,0.0,0.0,-51.263118743896484,0.0,0.0,-152.4088134765625,0.0,0.0,54.58167330677291,0.0,1.0,0.0
45,CC(C)(C)NC(=O)/C(=C\C=C\c1ccccc1)NC(=O)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-51.42383575439453,0.0,0.0,-51.992794036865234,0.0,0.0,-152.3516387939453,0.0,0.0,55.1792828685259,0.0,1.0,0.0
46,CC(C)(C)NC(=O)CC1C[C@H](C(=O)N2CCOCC2)[C@@]2(CCC3CCCC3)c3[nH]c4ccccc4c3CCN2C1=O,-0.0,1.0,0.0,0.0,-46.01302719116211,0.0,0.0,-46.53264617919922,0.0,0.0,-164.22564697265625,0.0,0.0,61.15537848605578,0.0,1.0,0.0
47,CC(C)(C)NC(=O)NC(=O)COC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-0.0,1.0,1.0,0.0,-55.50635528564453,1.0,0.0,-56.070247650146484,1.0,0.0,-1035.2470703125,0.0,0.0,5.179282868525899,0.0,1.0,0.0
48,CC(C)(C)NC(=O)NC(=O)COC(=O)Cc1ccc(Cl)cc1Cl,-0.0,1.0,1.0,0.0,-55.58063507080078,1.0,0.0,-56.15465545654297,1.0,0.0,-808.1913452148438,0.0,0.0,38.84462151394422,0.0,1.0,0.0
49,CC(C)(C)OC(=O)N1CCC(c2cc(=O)n3[nH]cc(C(=O)Nc4ccc(F)c(Cl)c4)c3n2)CC1,-0.0,1.0,0.0,0.0,-51.9607048034668,0.0,0.0,-52.53123474121094,0.0,0.0,-204.10531616210938,0.0,0.0,53.38645418326692,0.0,1.0,0.0
50,CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)c1[nH]cnc1C(=O)Nc1ccccc1)C(=O)OC(C)(C)C,-0.0,1.0,0.0,0.0,-54.201133728027344,0.0,0.0,-54.7834587097168,0.0,0.0,-283.6246337890625,0.0,0.0,37.05179282868525,0.0,1.0,0.0
51,CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,-0.0,1.0,0.0,0.0,-53.24199295043945,0.0,0.0,-53.823448181152344,0.0,0.0,-198.50250244140625,0.0,0.0,27.091633466135463,0.0,1.0,0.0
52,CC(C)(C)OC(=O)NCCc1onc(-c2cccc([N+](=O)[O-])c2)c1C(=O)O,-0.0,1.0,0.0,0.0,-53.346282958984375,0.0,0.0,-53.92744827270508,0.0,0.0,-156.40042114257812,0.0,1.0,61.95219123505975,0.0,1.0,0.0
53,CC(C)(C)OC(=O)NCc1ccc(CNC(=O)c2[nH]cnc2C(=O)NCC(=O)OCc2ccccc2)cc1,-0.0,1.0,0.0,0.0,-54.54961395263672,0.0,0.0,-55.1318244934082,0.0,0.0,-314.5972900390625,0.0,0.0,31.07569721115537,0.0,1.0,0.0
54,CC(C)(C)SCCNC(=O)/C=C/c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-53.56201171875,0.0,0.0,-54.143863677978516,0.0,0.0,-155.69601440429688,0.0,0.0,44.22310756972112,0.0,1.0,0.0
55,CC(C)(C)SCCNC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-54.32994842529297,0.0,0.0,-54.914363861083984,0.0,0.0,-175.76535034179688,0.0,0.0,6.175298804780879,0.0,1.0,0.0
56,CC(C)(C)c1ccc(/C=N/NC(=S)NC2CCCCC2)cc1,-0.0,1.0,0.0,0.0,-55.3432502746582,0.0,0.0,-55.92249298095703,0.0,0.0,-316.14599609375,0.0,0.0,5.378486055776898,0.0,1.0,0.0
57,CC(C)(C)c1ccc(/C=N/Nc2ccc(C(=O)O)cc2)cc1,-0.0,1.0,1.0,0.0,-55.635955810546875,1.0,0.0,-56.206642150878906,0.0,0.0,-409.69122314453125,0.0,0.0,27.689243027888445,0.0,1.0,0.0
58,CC(C)(C)c1ccc(C(=O)N2CCC2(C)C(=O)NS(=O)(=O)c2ccc(C#N)cc2)cc1,-0.0,1.0,0.0,0.0,-52.81121826171875,0.0,0.0,-53.38755798339844,0.0,0.0,-212.9647216796875,0.0,0.0,6.573705179282863,0.0,1.0,0.0
59,CC(C)(C)c1ccc(C(=O)N2CCC2(C)C(=O)Nc2cccc(C#N)c2)cc1,-0.0,1.0,0.0,0.0,-54.594459533691406,0.0,0.0,-55.17537307739258,0.0,0.0,-351.2394714355469,0.0,0.0,29.4820717131474,0.0,1.0,0.0
60,CC(C)(C)c1ccc(C(=O)NCC(=O)OCc2ccc([N+](=O)[O-])cc2)cc1,-0.0,1.0,0.0,0.0,-51.76471710205078,0.0,0.0,-52.33600997924805,0.0,0.0,-153.3863983154297,0.0,0.0,42.43027888446214,0.0,1.0,0.0
61,CC(C)(C)c1ccc(C(=O)NCCC(=O)Nc2cc(Cl)ccc2N2CCOCC2)cc1,-0.0,1.0,0.0,0.0,-54.699806213378906,0.0,0.0,-55.27848815917969,0.0,0.0,-358.879150390625,0.0,0.0,33.86454183266932,0.0,1.0,0.0
62,CC(C)(C)c1ccc(C(=O)OCCNC(=O)c2c(Cl)nc3ccccn23)cc1,-0.0,1.0,0.0,0.0,-54.395973205566406,0.0,0.0,-54.979305267333984,0.0,0.0,-286.7294921875,0.0,0.0,31.673306772908376,0.0,1.0,0.0
63,CC(C)(C)c1ccc(COC(=O)CN2C(=O)NC3(CCCC3)C2=O)cc1,-0.0,1.0,0.0,0.0,-55.15198516845703,0.0,0.0,-55.7275276184082,1.0,0.0,-573.5993041992188,0.0,0.0,35.05976095617528,0.0,1.0,0.0
64,CC(C)(C)c1ccc(CSc2ccc(S(=O)(=O)N3CCOCC3)cn2)cc1,-0.0,1.0,0.0,0.0,-54.89311218261719,0.0,0.0,-55.47358703613281,0.0,0.0,-300.99432373046875,0.0,1.0,62.94820717131473,0.0,1.0,0.0
65,CC(C)(C)c1ccc(OC(=O)Nc2ccc(O)c(C(=O)O)c2)cc1,-0.0,1.0,1.0,0.0,-55.627281188964844,1.0,0.0,-56.200767517089844,1.0,0.0,-453.82440185546875,1.0,0.0,0.5976095617529823,0.0,1.0,0.0
66,CC(C)(C)c1ccc(OCCC(=O)OCC(=O)N2c3ccccc3NC(=O)C2(C)C)cc1,-0.0,1.0,0.0,0.0,-54.820926666259766,0.0,0.0,-55.401248931884766,1.0,0.0,-461.1783752441406,0.0,0.0,12.749003984063744,0.0,1.0,0.0
67,CC(C)(C)c1ccc(OCCC(=O)OCC(=O)NC2CCCCC2)cc1,-0.0,1.0,1.0,0.0,-55.66655349731445,1.0,0.0,-56.23678207397461,1.0,0.0,-805.36865234375,0.0,0.0,13.14741035856574,0.0,1.0,0.0
68,CC(C)(C)c1ccc(OCCC(=O)OCC(=O)NCc2ccccc2)cc1,-0.0,1.0,1.0,0.0,-55.71099090576172,1.0,0.0,-56.28056335449219,1.0,0.0,-814.966064453125,0.0,0.0,29.28286852589641,0.0,1.0,0.0
69,CC(C)(C)c1ccc(OCCSc2nc3ccccc3n2CC(=O)O)cc1,-0.0,1.0,1.0,0.0,-55.65791702270508,1.0,0.0,-56.228511810302734,1.0,0.0,-475.53680419921875,0.0,0.0,55.1792828685259,0.0,1.0,0.0
70,CC(C)(C)c1nc2scc(-c3cccs3)c2c(=O)o1,-0.0,1.0,1.0,0.0,-55.55647659301758,1.0,0.0,-56.13532257080078,0.0,0.0,-360.22808837890625,0.0,0.0,16.533864541832664,0.0,1.0,0.0
71,CC(C)(CNC(=O)c1ccc([N+](=O)[O-])c(Cl)c1)CNC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,-0.0,1.0,0.0,0.0,-50.26536178588867,0.0,0.0,-50.8253288269043,0.0,0.0,-155.01321411132812,0.0,0.0,12.549800796812743,0.0,1.0,0.0
72,CC(C)CCNC(=O)C1CC(c2cccc([N+](=O)[O-])c2)=NO1,-0.0,1.0,0.0,0.0,-54.68465805053711,0.0,0.0,-55.264244079589844,0.0,0.0,-177.29173278808594,0.0,0.0,5.378486055776898,0.0,1.0,0.0
73,CC(C)COc1ccc(C(=O)N/C(=C/c2cccc([N+](=O)[O-])c2)C(=O)O)cc1,-0.0,1.0,0.0,0.0,-53.087337493896484,0.0,0.0,-53.66658401489258,0.0,0.0,-153.3826904296875,0.0,0.0,13.545816733067722,0.0,1.0,0.0
74,CC(C)COc1ccc(C(=O)N/C(=C\c2cccc([N+](=O)[O-])c2)C(=O)O)cc1,-0.0,1.0,0.0,0.0,-53.087337493896484,0.0,0.0,-53.66658401489258,0.0,0.0,-153.3826904296875,0.0,0.0,24.30278884462152,0.0,1.0,0.0
75,CC(C)CSc1ncc(-c2cccc(C(F)(F)F)c2)cn1,-0.0,1.0,1.0,0.0,-55.74147415161133,1.0,0.0,-56.318416595458984,0.0,0.0,-408.4797668457031,1.0,0.0,2.5896414342629424,0.0,1.0,0.0
76,CC(C)C[C@@]12C(=O)N(c3ccc(Br)cc3)C(=O)N1[C@H](c1ccc(Br)cc1)[C@@H]1C(=O)N(C(C)(C)C)C(=O)[C@@H]12,-0.0,1.0,0.0,1.0,-41.2771110534668,0.0,1.0,-41.75111389160156,0.0,0.0,-160.62393188476562,0.0,0.0,50.39840637450198,0.0,1.0,0.0
77,CC(C)C[C@H](NC(=O)c1nc[nH]c1C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)OCc1ccccc1,-0.0,1.0,0.0,0.0,-53.96821212768555,0.0,0.0,-54.5465202331543,0.0,0.0,-376.4839782714844,0.0,0.0,16.334661354581677,0.0,1.0,0.0
78,CC(C)N1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)c(C(=O)O)c3)o2)C1=O,-0.0,1.0,0.0,0.0,-55.26557540893555,0.0,0.0,-55.843387603759766,0.0,0.0,-414.504638671875,0.0,0.0,37.84860557768924,1.0,-0.0,1.0
79,CC(C)N1CCc2c(sc(NC(=O)c3ccc([N+](=O)[O-])o3)c2C(N)=O)C1,-0.0,1.0,1.0,0.0,-55.72187805175781,1.0,0.0,-56.29231262207031,1.0,0.0,-547.2618408203125,0.0,0.0,18.92430278884462,0.0,1.0,0.0
80,CC(C)NC(=O)N(C)C[C@H]1Oc2c(NC(=O)Nc3ccc(C(F)(F)F)cc3)cccc2C(=O)N([C@H](C)CO)C[C@@H]1C,-0.0,1.0,0.0,0.0,-53.16696548461914,0.0,0.0,-53.74220275878906,0.0,0.0,-271.9402160644531,0.0,1.0,64.54183266932272,0.0,1.0,0.0
81,CC(C)OC(=O)/C(C#N)=C/c1cn(C)c2ccccc12,-0.0,1.0,1.0,0.0,-55.563385009765625,1.0,0.0,-56.13905334472656,1.0,0.0,-522.46142578125,0.0,0.0,4.382470119521917,0.0,1.0,0.0
82,CC(C)OC(=O)[C@H]1[C@H](c2ccc(Cl)cc2)[C@@](C#N)(C(N)=O)[C@@H]2C=CC(C(N)=O)=CN21,-0.0,1.0,0.0,0.0,-55.24695587158203,0.0,0.0,-55.82757568359375,1.0,0.0,-492.9256591796875,0.0,0.0,18.12749003984064,0.0,1.0,0.0
83,CC(C)Oc1ccc(Cc2n[nH]c(=S)n2Cc2ccccc2)cc1Cl,-0.0,1.0,1.0,0.0,-55.51248550415039,1.0,0.0,-56.089324951171875,1.0,0.0,-448.01214599609375,0.0,0.0,13.94422310756972,0.0,1.0,0.0
84,CC(C)c1ccc(/C=N/NC(=O)CN(c2cccc(Cl)c2Cl)S(C)(=O)=O)cc1,-0.0,1.0,0.0,0.0,-52.551883697509766,0.0,0.0,-53.12838363647461,0.0,0.0,-164.56622314453125,0.0,0.0,13.745019920318722,0.0,1.0,0.0
85,CC(C)c1ccc(CCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1,-0.0,1.0,0.0,0.0,-53.51626968383789,0.0,0.0,-54.09786605834961,0.0,0.0,-154.9774169921875,0.0,0.0,32.86852589641434,0.0,1.0,0.0
86,CC(C)c1ccc(CSc2ccc(S(=O)(=O)N3CCOCC3)cn2)cc1,-0.0,1.0,1.0,0.0,-55.40444564819336,1.0,0.0,-55.97874450683594,0.0,0.0,-438.1852111816406,0.0,0.0,37.649402390438254,0.0,1.0,0.0
87,CC(C)c1ccc(S(=O)(=O)c2nnn3c2nc(NCC2CCCO2)c2ccccc23)cc1,-0.0,1.0,0.0,0.0,-50.1023063659668,0.0,0.0,-50.65908432006836,0.0,0.0,-157.53640747070312,0.0,0.0,48.00796812749002,0.0,1.0,0.0
88,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,-0.0,1.0,0.0,0.0,-52.597896575927734,0.0,0.0,-53.174827575683594,0.0,0.0,-161.72900390625,0.0,0.0,60.5577689243028,0.0,1.0,0.0
89,CC(C)c1ccccc1NC(=O)COC(=O)c1cc([N+](=O)[O-])ccc1N1CCOCC1,-0.0,1.0,0.0,0.0,-47.85295867919922,0.0,0.0,-48.39109420776367,0.0,0.0,-154.31396484375,0.0,0.0,48.60557768924304,1.0,-0.0,1.0
90,CC(C=Cc1ccccc1)=NNS(=O)(=O)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-52.38563919067383,0.0,0.0,-52.96123123168945,0.0,1.0,-151.67222595214844,0.0,0.0,16.533864541832664,0.0,1.0,0.0
91,CC(CCc1ccccc1)NC(=O)COC(=O)c1cc(NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)ccc1O,-0.0,1.0,0.0,0.0,-48.91179275512695,0.0,0.0,-49.459659576416016,0.0,0.0,-154.44322204589844,0.0,0.0,9.16334661354582,1.0,-0.0,1.0
92,CC(CCc1ccccc1)NC(=O)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-53.8641471862793,0.0,0.0,-54.44622802734375,0.0,0.0,-157.79678344726562,0.0,0.0,23.10756972111554,0.0,1.0,0.0
93,CC(Cc1ccccc1)=NNS(=O)(=O)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-53.05729675292969,0.0,0.0,-53.63673782348633,0.0,0.0,-152.7014923095703,0.0,0.0,18.92430278884462,0.0,1.0,0.0
94,CC(Cc1ccccc1)NC(=O)c1cc([N+](=O)[O-])ccc1Cl,-0.0,1.0,0.0,0.0,-52.412452697753906,0.0,0.0,-52.98789978027344,0.0,0.0,-151.71444702148438,0.0,0.0,15.737051792828682,0.0,1.0,0.0
95,CC(NC(=O)C(C(=O)c1cccc([N+](=O)[O-])c1)n1cc(Cl)ccc1=O)c1ccccc1,-0.0,1.0,0.0,0.0,-49.51448440551758,0.0,0.0,-50.06816101074219,0.0,0.0,-153.54833984375,0.0,0.0,17.52988047808764,0.0,1.0,0.0
