,FP Precision@90 - mean_mvsa_,FP Precision@90 - mean_catboost_self,FP Precision@90 - mean_catboost_test,TP Precision@90 - mean_mvsa_,TP Precision@90 - mean_catboost_self,TP Precision@90 - mean_catboost_test,FP EF10 - mean_mvsa_,FP EF10 - mean_catboost_self,FP EF10 - mean_catboost_test,TP EF10 - mean_mvsa_,TP EF10 - mean_catboost_self,TP EF10 - mean_catboost_test,FP BEDROC20 - mean_mvsa_,FP BEDROC20 - mean_catboost_self,FP BEDROC20 - mean_catboost_test,TP BEDROC20 - mean_mvsa_,TP BEDROC20 - mean_catboost_self,TP BEDROC20 - mean_catboost_test
streptokinase,0.829493082500328,0.6795776912277603,0.8490440592455208,0.06025981147902598,0.052824211205944424,0.1579768435400167,0.6177513538819047,0.506104327667762,0.6323116228086221,0.015382306275934763,0.01348424722233526,0.04032618310934751,0.8516545806123956,0.6870521311202349,0.8473880278088324,0.06332036632802789,0.05981718201904805,0.1503775843148783
toxin_B,0.9905405405405405,1.0,0.9158274713069232,0.09257301982644449,0.07317660125879304,0.054094532889053436,0.9549686426758252,0.9640883977900552,0.8829386394644096,0.0033244454633806026,0.002627888995481518,0.0019426213468444608,0.9818315931542557,0.9997296646175959,0.8305825009173926,0.20632863397563872,0.13584094235103417,0.10877165552529892
ubiquitin,0.6944774846663492,0.7468268254916156,0.6877254032503763,0.5000766827259796,0.4428465571559198,0.4027989635001109,0.4924011631612236,0.5295180991054733,0.48761377578525755,0.14551034230332371,0.12885774591277227,0.1172048549411004,0.6969963970651063,0.7519003317793997,0.6741654768701119,0.5813443424835121,0.46357701795134004,0.3455729523785041
zinc_finger,0.6644570087546787,0.5677257501689117,0.4514993101705008,0.7054780966129593,0.6663603831523631,0.6501017346822279,0.3237555626549643,0.27662341920981875,0.21999228133139842,0.3617350777263765,0.3416774045157084,0.3333407552330349,0.6772045676505145,0.5623640258365104,0.46195943587742283,0.6868162890677125,0.6813816603132559,0.6607896251865787
fatty_acid_synthase,0.08950048797205029,0.06896612453361484,0.07992296452044612,0.9332417824625832,0.953796858733097,0.9291296768023111,0.004233796460724051,0.003262423932833265,0.0037807342952466253,0.8890950314770046,0.9086777554046888,0.8851774478666682,0.13499983713330463,0.1253550841156577,0.17040014076022023,0.9165407494459579,0.9323434636724374,0.9226140091423449
RNA_binding,0.994536362735904,0.9902629801281184,1.0,0.0,0.0,0.0,0.9926634129002432,0.9883980780939788,0.9981167608286251,0.0,0.0,0.0,0.8806921235042369,0.6952038813237049,0.9724257295665646,0.002538652719649388,1.5010360741974827e-05,4.8544880203545746e-05
transcription3,0.9836183222755119,0.9345762552435346,0.6574577722622429,0.37855219387567135,0.24830240517692775,0.21508354369786123,0.8486585847558695,0.8063454534748494,0.5672496840583838,0.051940171879632055,0.03406893372080525,0.029511059264436163,0.9842817942564371,0.9397921785883501,0.5892856975048888,0.37514195179425713,0.2860422880720665,0.2310876392204683
transcription_4,0.3307596636091531,0.32832573743644716,0.142618676287222,0.9889903365041265,0.9923098573761606,0.9897952401727071,0.02387781626808073,0.023702109105581563,0.01029576131389236,0.9175942984011922,0.9206741802899974,0.9183410954019215,0.45219827892739606,0.4010277362247905,0.19412591982380023,0.9927243502349917,0.9942425121838326,0.9924925958376773
ion_channel,0.23244493252853418,0.17203687455642674,0.13818316084889506,0.9123894767928666,0.9072690758604139,0.889609232336252,0.036967786752249716,0.027360555564466028,0.021976498121277357,0.7672840565706602,0.7629779985782656,0.7481267571706467,0.2301817615424388,0.183902341802178,0.15402765591277065,0.9071516243025183,0.8902692758209698,0.8766047459765278
ion_channel3,0.65758592196939,0.42642927455920976,0.391581515655819,0.8490601202052914,0.8576736208071789,0.8518796285466561,0.22703107559996813,0.1472244061742521,0.1351932419997042,0.5559227127590619,0.5615624083554059,0.5577687878348752,0.6516857113786487,0.43764505113728475,0.3640438947245691,0.8728947225411845,0.8625300938396011,0.8568558271884926
transcription2,0.9051319659531283,0.8791532441362371,0.7897993723836969,0.5679105233080175,0.5083313235609137,0.4944027304363579,0.7119914328141401,0.691556150374843,0.6212689507513173,0.12118292732203909,0.10846968899216465,0.10549755232796018,0.9109042551312729,0.8710877880914465,0.7689101419668775,0.5210473255697857,0.4746580123890186,0.4464525566097054
