PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1,IC50_1,Std.Err(IC50)_1,nH_1,Excluded_Points_first_point,% Activity at 100 uM_first_point,% Activity at 50 uM_first_point,% Activity at 25 uM_first_point,% Activity at 12.5 uM_first_point,% Activity at 6.25 uM_first_point,% Activity at 3.125 uM_first_point,IC50_Qualifier_2,IC50_2,Std.Err(IC50)_2,nH_2,Excluded_Points_second_point,% Activity at 100 uM_second_point,% Activity at 50 uM_second_point,% Activity at 25 uM_second_point,% Activity at 12.5 uM_second_point,% Activity at 6.25 uM_second_point,% Activity at 3.125 uM_second_point
6,864616,665857,CC1=C(OC2=CC=CC=C12)C(=O)N(CC3=CC=C(C=C3)OC)C4CCS(=O)(=O)C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",14.3692,11.4398,-1.4351,-4.90413,11.9785,-2.11705,>,100,,,"0,0,0,0,0,0",4.60821,-0.190256,-4.47337,-0.464061,-3.73018,-4.32669
7,4263772,2967444,CC1=C(SC(=N1)NC(=O)C2CC3CCCC(C2)C3=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",3.8228,3.18039,10.2173,9.91288,6.04456,6.44384,>,100,,,"1,0,0,0,0,0",,13.1519,1.43303,8.23615,7.48416,8.98228
8,3712800,2998170,CC1CN(CC(O1)C)C(=O)COC(=O)C2=CC(=CC(=C2)NC(=O)C)NC(=O)C,Inactive,41,,,>,100,>,100,,,"0,1,0,0,0,0",0.047391,,0.521792,7.21277,6.08508,3.11121,>,100,,,"0,0,0,0,0,0",-15.9048,3.09543,-0.307602,5.27708,3.30078,13.1148
9,4257256,991780,C1CCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3S(=O)(=O)N4CCCC4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.74312,26.4614,-7.5825,-7.73074,8.68636,8.37306,>,100,,,"0,0,0,0,0,0",7.77068,1.9513,21.8336,3.54525,5.00718,8.17552
10,4265343,1094261,CN1C(=NN=N1)SCC(=O)N2CCN(CC2)C3=CC(=CC=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.1064,9.98601,-0.209574,7.64862,-4.59775,7.34619,>,100,,,"0,0,0,0,0,0",-2.92832,2.86074,15.9174,-0.796535,-8.92273,5.03065
11,4240632,3235717,CC1=C(C(=NO1)C)S(=O)(=O)N2CCCC(C2)C(=O)NCCC3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.6601,-1.07931,2.0537,8.22876,-8.72895,5.49802,>,100,,,"0,0,0,0,0,0",9.8653,11.5795,10.5743,4.14372,0.240018,10.674
12,843292,645572,CC(C)OC(=O)CSC1=NN=NN1C2=CC3=C(C=C2)OCCO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-6.27791,4.69451,4.70933,-2.20599,-3.57977,0.264826,>,100,,,"1,0,0,0,0,0",,2.95853,-6.93763,1.39392,-2.89898,-6.83007
13,24839419,3242228,C1CCC(=CC1)CCNC(=O)CN2C3=CC=CC=C3C(=O)N(C2=O)CCC(=O)NCC4=CC=CO4,Inactive,41,,,>,100,>,100,,,"0,1,0,0,0,0",3.25945,,-3.86639,1.91533,4.50475,0.749105,>,100,,,"0,0,0,0,0,0",2.3229,2.68472,11.7898,1.86329,1.56015,13.4913
14,850821,653359,C1COCCN1CC2=CC=C(C=C2)C3=NN(N=N3)CC4=CC=C(C=C4)F,Active,56,,,=,6.09,=,4.674,1.11,0.776,"0,0,0,0,0,0",86.3679,86.5735,88.5551,64.5595,49.2819,46.5571,=,7.509,0.808,1.236,"0,0,0,0,0,0",88.2161,87.4993,82.9893,68.1812,47.1705,20.0861
15,856106,599957,C1CC2=NON=C2C3=C1N=NC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.55012,-14.5008,-2.54203,-1.59324,-8.83768,-5.84304,>,100,,,"0,0,0,0,0,0",-3.53461,-2.50783,4.77934,-2.08734,-15.3278,5.58609
16,865454,666708,CC1=CC(=CC=C1)CN2C3=C(N=C2SC4=NC(=CS4)C)N(C(=O)NC3=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-12.0497,-19.7291,-9.03534,12.0991,-0.802566,-7.06857,>,100,,,"0,0,0,0,0,0",0.0639936,4.9006,0.621387,9.23653,-0.962777,0.230235
17,4260863,723043,C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=CC=CC=C4O3,Active,55,,,=,9.69,=,12.178,5.11,0.776,"1,0,0,0,0,0",,88.2395,77.1592,67.2669,46.8478,27.0936,=,7.202,0.368,1.084,"1,0,0,0,0,0",,58.675,71.5391,59.7107,46.3337,9.18645
18,861774,663003,CC1=C(C=CC2=C1OC(=O)C3=C2CCC3)OC(=O)CNC(=O)OC(C)(C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",12.9154,-9.73705,7.18312,-1.58335,8.1843,5.12542,>,100,,,"0,0,0,0,0,0",9.13287,-10.7122,-0.454278,3.14432,3.69194,6.5405
19,4259002,1250725,C1=CC(=C(C=C1CN2C=C(C=N2)Br)Cl)Cl,Active,53,,,=,30.6,=,23.169,2.77,0.956,"0,0,0,0,0,1",85.9291,60.6961,53.679,35.4443,23.2968,,=,37.978,6.93,1.06,"0,0,0,0,0,0",77.1142,47.2086,50.8786,17.6747,13.9196,5.15387
20,7972183,599200,CCSC1=NN=C(O1)C2=C(C=C(C=C2)Cl)Cl,Active,51,,,=,29.7,=,29.374,3.34,1.556,"0,0,0,0,0,0",93.474,68.7846,35.8584,29.4047,9.46516,-0.614792,=,30.076,4.6,1.548,"0,0,0,0,0,0",92.1941,72.79,32.3478,20.3492,21.1657,6.07699
21,4261795,700590,C1=CC=C(C=C1)OCC2=NC3=CC=CC=C3S2,Active,53,,,=,29.5,=,24.691,4.94,0.954,"0,0,0,0,0,0",77.9721,77.982,38.3194,32.3153,23.2,18.5657,=,34.242,6.62,0.934,"0,0,0,0,0,0",73.5302,52.2183,55.1588,21.772,12.2503,14.1083
22,845900,6603656,CC(C)C(C1=NN=NN1CC2=CC=CO2)N3CCN(CC3)C4CCCC4.Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-17.3768,-22.022,-13.4038,-8.60047,0.373539,-8.54117,>,100,,,"0,0,0,0,0,0",-1.20725,-10.8589,-9.12809,-10.6242,-10.4384,1.93175
23,4263041,1247498,CCOC1=CC=CC2=C1OC(=O)C(=C2)C(=O)N3CCC4=CC=CC=C43,Inactive,41,,,>,100,>,100,,,"1,1,1,1,0,0",,,,,16.0365,19.2269,>,100,,,"1,1,1,1,0,0",,,,,5.49417,15.891
24,87335735,2085549,C1=CC=C(C=C1)C2=NC(=CS2)CSC3=NN=C(O3)C4=CC=CS4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",22.43,8.61619,12.275,19.4927,15.5117,12.2384,>,100,,,"0,0,0,0,0,0",8.75932,-3.54438,17.5133,1.82418,-0.512956,-0.356488
25,846752,649145,C1C(C(CS1(=O)=O)NC(=O)C2=CC=CC=C2)NCC3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",16.3459,1.85603,8.89293,-2.36412,4.92973,2.30077,>,100,,,"0,0,0,0,0,0",8.53147,14.6012,-3.43682,8.08457,-0.248924,0.0444374
26,846500,648892,CC1=CC(=C2C=C(C(=NC2=C1)N3CCCC3)C#N)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-4.72623,5.56522,-0.525835,-12.109,-11.3381,-11.9114,>,100,,,"0,0,0,0,0,0",12.6317,27.3303,5.20961,4.61506,3.06609,-0.503174
27,860969,662244,C1CS(=O)(=O)CC1N(CC2=CC=CS2)C(=O)C3=CC(=CC=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-17.9303,-4.52857,-10.4882,11.1888,6.08113,1.24327,>,100,,,"0,0,0,0,0,0",9.25999,18.0805,6.3283,10.8666,0.826742,8.8796
28,3711517,1540897,CCN(CC)C1=CC=C(C=C1)C(=S)N2CCN(CC2)C3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-6.43604,-6.89067,2.65658,-4.54833,-6.24826,1.8758,>,100,,,"0,0,0,0,0,0",-12.404,11.0906,7.25045,-5.57838,-5.58816,3.73105
29,3713335,2102674,CC1=CC(=NO1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CC4=CC=C(C=C4)F,Inactive,41,,,=,82.4,=,64.807,17,2.266,"0,0,0,0,0,0",-11.0936,-15.2203,-2.13623,-2.64473,-0.121804,-15.5234,>,100,,,"0,0,0,0,0,0",59.5348,56.9553,-10.8341,-6.70288,-15.1333,-1.88973
30,3714770,2537363,C1CCCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NCCC3=CC=CC=N3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.09257,-5.80351,1.48047,2.27113,5.04734,2.46879,>,100,,,"0,0,0,0,0,0",8.47378,3.44747,-4.26802,-8.39468,-12.2084,-13.5481
31,7977571,2890938,CCCC(C)C(=O)NCC1=CC=CC=C1OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-6.55464,-19.1163,-3.9158,-3.36234,-5.20063,3.47689,>,100,,,"0,0,0,0,0,0",6.26083,2.95853,4.17599,-1.53973,10.9351,-2.28292
32,7974876,752709,C1=CC=NC(=C1)C2=NOC(=N2)C3=CC=C(O3)Br,Inactive,41,,,=,72.1,=,44.195,11.5,0.778,"0,0,0,0,0,0",37.4592,47.4775,37.2616,3.60393,11.2265,9.02823,>,100,,,"0,0,0,0,0,0",66.9394,48.9627,35.5837,41.5048,7.75634,11.3163
33,843029,645305,COC1=C(C=C2C(=C1)C(=O)N(C(=N2)C3CC3)NC(=O)C4=CC=C(C=C4)Cl)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",7.90065,-5.64538,8.66956,-0.298522,8.5984,-0.219452,>,100,,,"0,0,0,0,0,0",-3.54438,-4.45382,4.89473,-7.14299,-3.38792,8.38381
34,7973642,784811,CC1=CC=C(C=C1)C2=NOC(=N2)C3=CC=CS3,Active,50,,,=,18.8,=,16.368,2.48,1.694,"0,0,0,0,0,0",93.0045,93.1696,56.4028,51.0224,9.12617,3.10132,=,21.234,4.26,1.77,"0,0,0,0,0,0",74.1121,94.0217,59.6404,18.6848,16.1863,6.86809
35,865798,667057,CCC1=NC2=C(C(=O)C3=CC=CC=C3O2)C(=O)N1C4=CC=CC=C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-8.47199,-3.49082,2.91354,-0.179922,-6.49533,-4.87448,>,100,,,"0,0,0,0,0,0",10.7737,21.7358,2.08821,-0.923665,-2.90876,9.06246
36,852353,6602589,CCC(C1=NN=NN1CCOC)N2CCN(CC2)CC3=CC=CC=C3.Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-12.5637,-4.28148,-6.32732,3.65478,-3.22398,-0.6642,>,100,,,"0,0,0,0,0,0",20.3169,-5.68594,-6.7225,-2.51761,6.43978,17.3334
37,850460,652981,CC(C)COC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",21.9359,24.9147,34.3167,29.713,20.6125,12.9391,>,100,,,"0,0,0,0,0,0",20.621,23.7942,21.7534,11.8807,0.523597,11.3262
38,862410,663635,C#CCSC1=NN=C(O1)C2=CC=CC3=CC=CC=C32,Active,54,,,=,10.2,=,9.956,2.94,1.183,"0,0,0,0,0,0",93.0737,93.6776,78.6323,37.1176,56.9118,12.0338,=,10.407,1.01,1.506,"0,0,0,0,0,0",90.916,89.6868,85.1866,55.6321,26.6927,19.4828
39,4265434,2162636,CCOCC(=O)NC1=CC(=CC=C1)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.35274,-3.98498,-0.931053,-19.4721,-22.6051,-6.10989,>,100,,,"0,0,0,0,0,0",14.7009,14.9747,1.61883,-1.35393,-0.0729091,-2.90876
40,3717726,2408764,C1=CC=C2C(=C1)N=C(S2)SCC3=CC=C(C=C3)C4=NN=CO4,Active,48,,,=,32.7,=,34.847,29.1,0.406,"0,0,0,0,0,0",54.9085,54.2034,67.6121,42.9979,18.5186,14.4965,=,30.458,13.7,0.582,"0,0,0,0,0,0",44.615,61.3435,50.4066,64.3895,18.6279,18.6576
41,851661,654245,CCCCCCN1C2=C(N=C1N3CCC(CC3)C(=O)N)N(C(=O)N(C2=O)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",6.58815,18.5113,0.136339,-1.3758,3.26934,1.58918,>,100,,,"0,0,0,0,0,0",2.31312,-2.92832,3.25189,13.3094,10.5831,3.9853
42,843901,646210,C1=CC=C(C=C1)CSC2=NN=C(O2)C3=CC=CS3,Active,50,,,=,30.2,=,31.524,4.36,1.759,"1,0,0,0,0,0",,68.3377,46.4068,22.2453,3.53548,8.1853,=,28.925,2.28,1.526,"0,0,0,0,0,0",84.7985,78.5819,29.8287,20.236,7.76821,11.5871
43,4247785,3241951,CC1=CC2=CC=CC=C2N1CCNC(=O)C3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-1.50428,9.93561,-14.2537,3.41758,-9.35161,19.811,>,100,,,"0,0,0,0,0,0",21.4688,9.16807,6.73901,9.70297,4.67373,22.4985
44,4246626,3240947,CC1=CC2=C(C=C1C)NC(=O)C(=C2)CCNC(=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-2.47284,-10.2114,-0.86187,14.3139,17.2749,-8.67954,>,100,,,"0,0,0,0,0,0",13.6761,5.70246,8.74856,-0.464061,2.67494,-4.53204
45,4262469,733286,COCC(=O)NC1=C(C2=C(S1)CCCC2)C(=O)OC,Inactive,41,,,>,100,>,100,,,"0,1,0,0,0,0",-4.8053,,-4.34079,-12.0497,8.20604,0.185756,>,100,,,"0,0,0,0,0,0",-1.69619,-1.88198,-0.610737,-6.68338,1.40369,-1.06057
46,850494,653025,CC1=C(C(=CC=C1)C)NC(=O)C2CCCN2C(=O)NC3=CC=CC(=C3)C(=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-28.2385,-5.60584,-9.25277,1.51011,0.877583,7.71187,>,100,,,"0,0,0,0,0,0",2.274,10.4696,4.27769,3.28123,14.3851,14.4242
47,4248357,3242445,CC(CCC1=CC=CO1)NC(=O)CSC2=CC(=O)N(C3=CC=CC=C32)C,Inactive,41,,,>,100,>,100,,,"0,1,0,0,0,0",-20.1738,,-5.44771,-9.48997,-37.9439,-31.9645,>,100,,,"0,0,0,0,0,0",-2.39048,-11.7977,7.51839,-8.72716,-0.52273,-10.194
48,4249380,6603579,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=O)C3=CC=CO3.Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.877583,9.33668,10.6709,4.44545,1.56942,1.96475,>,100,,,"0,0,0,0,0,0",12.5026,4.68938,1.52104,-4.18001,-6.94741,4.20239
49,4244764,3239319,CC1=C(OC2=C1C=C(C=C2)S(=O)(=O)N3CCOCC3)C(=O)NCCC4=CCCCC4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-15.756,-7.94818,-9.06499,-5.36865,6.27386,-18.3454,>,100,,,"0,0,0,0,0,0",-1.7842,0.826742,-10.282,-7.77861,-3.63239,8.38185
50,3715573,2999268,CCC1=NC2=CC=CC=C2N1CC(=O)N(C3CCS(=O)(=O)C3)C(C)CC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.23385,3.00249,-5.67502,-3.64895,2.92343,13.798,>,100,,,"0,0,0,0,0,0",-1.34416,8.00928,-3.5835,-1.50062,4.27573,-4.13112
51,7969653,4360678,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=CO3,Inactive,41,,,=,73.3,=,73.291,17,0.757,"1,0,0,0,0,0",,39.5645,17.5348,11.3556,8.41021,4.1271,>,100,,,"0,0,0,0,0,0",62.741,32.5802,31.9427,21.8894,16.4833,8.35428
52,56436587,5101991,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",7.28788,2.47868,-2.29494,-2.58156,11.3549,6.70576,>,100,,,"0,0,0,0,0,0",5.27904,2.46958,5.40323,6.17869,2.57715,0.63117
53,7968089,5309213,CCOC1=CC=C(C=C1)NC(=O)C2CCCN(C2)S(=O)(=O)C3=C(N(N=C3C)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",7.88285,2.87401,11.8075,-6.80172,-6.3372,-1.41533,>,100,,,"0,0,0,0,0,0",9.06344,7.05976,11.1004,-1.76464,-3.19235,7.27489
54,7969393,6324576,C1CC2=C(C1)NC(=O)C=C2C3=CC=CC=C3Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,1",-2.27517,0.689809,4.78049,14.2882,-5.5762,,>,100,,,"0,0,0,0,0,0",21.9989,4.6307,-2.25358,3.65282,4.5818,0.0542202
55,7968550,718032,CC1=CC(=NC2=NN=C(N12)SCC3=C(ON=C3C)C)C,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,17.0417,-34.5144,9.95142,-2.10716,6.10881,>,100,,,"1,0,0,0,0,0",,26.9029,-2.70341,3.62348,-9.00097,7.43135
56,24708213,16066652,C1=CC(=CN=C1)C2=NN(N=N2)C3=CC=C(C=C3)F,Active,50,,,=,17.4,=,16.193,0.751,1.73,"0,0,0,0,0,0",95.3953,91.189,66.7931,37.3518,16.4685,9.73399,=,18.584,1.28,1.79,"0,0,0,0,0,0",89.0228,85.5582,67.3334,28.6455,14.4154,3.74083
57,7965224,715170,C1=COC(=C1)C(=O)NC2=NC(=NS2)SCC3=CC=C(C=C3)F,Inactive,41,,,=,70.55,=,41.125,3.56,6.589,"0,0,0,0,0,0",44.3786,50.2518,0.455146,12.0528,12.0499,23.6534,>,100,,,"0,0,0,0,0,0",90.7146,78.6817,2.82459,3.10132,1.10491,-8.07666
58,14736351,1293615,CSC1=CC=C(C=C1)C2=NN(N=N2)CC3=CC=C(C=C3)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.51463,7.34915,22.2759,14.983,48.5812,1.17409,>,100,,,"0,0,0,0,0,0",13.0845,7.92127,16.6841,21.9148,14.7234,5.281
59,14746895,5244141,C1C(N(N=C1C2=CC=C(C=C2)Cl)C(=O)COC(=O)C3=CC=CC=C3O)C4=CC=CO4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.71813,-16.7344,-9.27254,-4.54833,0.373539,-10.3894,>,100,,,"0,0,0,0,0,0",17.9172,0.973427,9.90441,8.09142,13.2947,2.1371
60,14735969,5737875,CC1=C(OC2=C1C=C(C=C2)F)C(=O)/C=C/C3=CC=CS3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",38.8709,18.4352,36.6956,27.3193,4.75282,10.491,>,100,,,"0,0,0,0,0,0",46.3334,35.743,28.0294,27.959,31.2437,16.5413
61,14735465,4685091,CCCCCCCCNC(=O)C(CCC(=O)OCC1=CC=CC=C1)NC(=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.85876,2.6467,4.25766,3.90187,5.51779,0.867705,>,100,,,"1,0,0,0,0,0",,1.0321,12.93,4.52607,9.93473,7.18297
62,14724085,2842800,CC1CCCN(C1)C(=O)CC2=CC=C(C=C2)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-8.87721,-1.52405,4.72219,9.99293,-4.66693,-5.27969,>,100,,,"0,0,0,0,0,0",3.50614,-2.22424,-5.53927,9.83498,-1.35393,-1.41261
63,14743358,1616439,CCN(CC)C(=S)SC1=C(C2=C(C=CC(=C2)Cl)NC1=O)C3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",8.41853,2.36996,-1.57346,-8.80802,5.08687,1.96475,>,100,,,"0,0,0,0,0,0",-1.72552,6.61776,4.25519,3.89729,-5.59793,11.4632
64,14743333,687490,CC1=CC=CN2C1=NC(=C(C2=O)C=O)N3CCCCCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.2042,-10.5376,3.21004,-3.27339,-1.60311,6.18491,>,100,,,"0,0,0,0,0,0",10.7659,7.46851,-7.19188,1.56993,3.43769,-7.09409
65,14742072,1915086,COC1=CC=C(C=C1)C2=NN(C(=O)C3=CC=CC=C32)CC(=O)NC4=CC(=C(C=C4)Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",36.0423,4.42568,14.472,14.3238,-2.63098,12.9451,>,100,,,"0,0,0,0,0,0",2.25445,9.28346,3.49635,12.7227,4.89375,12.0157
66,14745946,4409736,CCN1C2=C(C=C(C=C2)C(=O)OCC)N=C1SCC(=O)C3=CC4=CC=CC=C4O3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",21.0919,6.5664,3.15074,8.05878,12.5379,-0.782801,>,100,,,"0,0,0,0,0,0",5.46484,12.7168,11.7937,8.07578,-1.03123,-7.13321
67,14734261,775100,CC1=CC=C(C=C1)CSCC(=O)N2CCOCC2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,1,1",-10.7155,-16.2007,-9.08475,-1.71183,,,>,100,,,"0,0,0,0,0,0",8.8796,1.8144,7.76872,4.20924,11.1502,9.73915
68,14732470,5348811,CC1=C(C(N2C(=O)/C(=C/C3=CC=CS3)/SC2=N1)C4=CC=C(C=C4)OC)C(=O)OC(C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",37.9695,38.5773,6.63065,18.286,10.3161,4.58777,>,100,,,"0,0,0,0,0,0",17.216,16.1071,-6.44869,7.15168,8.03373,1.32547
69,14735443,6621133,C1CCC(C1)NC2=NC(=CC(=N2)C(F)(F)F)C3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,1",,8.71305,-1.2572,-9.93472,-12.1782,,>,100,,,"0,0,0,0,0,0",4.42339,7.19177,6.26083,9.36951,-11.7781,-5.75439
70,14733218,3502533,C1=CSC(=C1)C2=CC(=NC(=N2)N3C=C(C=N3)Br)C(F)(F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",14.3979,21.1077,29.5678,21.6354,24.298,16.3459,>,100,,,"0,0,0,0,0,0",24.1756,12.0812,13.2889,31.3552,25.3236,4.66298
