PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,% Activity at 0.078125 uM_first_point,% Activity at 0.0390625 uM_first_point,Excluded_Points_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point,% Activity at 0.078125 uM_second_point,% Activity at 0.0390625 uM_second_point,Excluded_Points_third_point,% Activity at 20 uM_third_point,% Activity at 10 uM_third_point,% Activity at 5 uM_third_point,% Activity at 2.5 uM_third_point,% Activity at 1.25 uM_third_point,% Activity at 0.625 uM_third_point,% Activity at 0.3125 uM_third_point,% Activity at 0.15625 uM_third_point,% Activity at 0.078125 uM_third_point,% Activity at 0.0390625 uM_third_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50_1_Range1. If qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,20,10,5,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,,20,10,5,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,,20,10,5,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625
1,56424129,2913535,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",58.4866,42.6757,18.4599,4.03954,-4.92166,-7.92933,-9.84002,-4.06159,-4.16974,2.72626,"0,0,0,0,0,0,0,0,0,0",60.2376,36.166,16.0908,5.03352,1.54689,-8.85635,-7.57912,-6.59545,-0.137202,4.51335,"0,0,0,0,0,0,0,0,0,0",52.0541,35.3111,12.4548,1.00612,-8.06323,-8.25379,-7.55337,-1.30628,9.10211,-2.1509
2,848826,651279,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCCCC(=O)NCCC3=NC4=CC=CC=C4N3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",44.8439,29.5069,15.9672,16.3844,9.31326,9.79738,-0.45136,1.85074,1.59839,3.28248,"0,0,0,0,0,0,0,0,0,0",45.91,25.8863,11.9965,1.63959,7.24292,5.07472,8.12359,11.7338,11.2291,10.3639,"0,0,0,0,0,0,0,0,0,0",45.3435,21.004,7.75278,10.8377,8.21114,0.82587,0.949473,1.49023,3.30308,6.13564
3,4243390,3238119,CC1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NC3=CC=CC=C3N4CCN(CC4)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",70.9138,53.424,27.8434,18.9543,9.91583,14.5509,11.4248,9.77163,9.29781,7.89183,"0,0,0,0,0,0,0,0,0,0",71.9181,51.9459,27.3129,14.8187,16.7706,13.8608,11.2755,9.53472,5.91934,6.7691,"0,0,0,0,0,0,0,0,0,0",71.434,54.4077,30.336,18.3363,12.7587,14.0411,10.7913,13.1707,11.5278,8.66435
4,4247687,3241862,CCNC(=O)C1=CC=CC=C1NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCC(CC3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",43.4379,23.7593,5.72363,1.51598,-8.7997,-7.39887,-8.30529,-5.99289,-5.70448,2.64386,"0,0,0,0,0,0,0,0,0,0",36.5316,24.3516,7.82488,-0.832468,-11.4469,-7.93963,-14.0013,-8.6761,-1.00757,-0.415309,"0,0,0,0,0,0,0,0,0,0",40.6105,19.4126,4.77601,1.58809,-7.42462,-7.29072,-10.1233,-8.81515,1.33573,-5.82293
5,14733438,1604314,CCOC(=O)C1=C(O/C(=C(/C(=O)OC)\C(F)(F)F)/S1)C2=CC=CC=C2,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",44.2156,27.9155,19.2993,3.74084,11.945,3.75114,4.47215,3.75114,12.4033,15.6531,"0,0,0,0,0,0,0,0,0,0",42.5418,36.6604,20.4375,12.7793,11.1879,15.3956,-3.22212,13.2016,11.9656,12.5475,"0,0,0,0,0,0,0,0,0,0",48.1503,38.0921,31.9274,17.0384,13.1192,8.28839,6.15109,12.5424,10.1115,12.9544
6,14735408,6622924,CCN(CC)CCCNC1=NC2=CC(=C(C=C2C3=NC(=NN31)C4=CC=CC=C4)OC)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",18.7431,3.98804,-5.99804,-6.76025,-19.4656,-18.7961,-12.7189,-12.3533,-9.88637,0.0328,"0,0,0,0,0,0,0,0,0,0",15.1123,3.61208,-7.17226,-6.69845,-15.6391,-20.0836,-15.2991,-11.1842,-0.90972,-4.88046,"0,0,0,0,0,0,0,0,0,0",15.6119,1.20698,-5.83838,-4.84956,-15.7112,-19.6046,-21.4072,-13.1052,-9.59797,-3.62383
7,17402526,3596967,COC1=CC=C(C=C1)C2=NNC(=C2)C3CCN(CC3)C4=CC(=NC(=N4)N)Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",42.9487,26.7001,21.1379,15.4779,4.59061,12.7123,6.68155,6.2953,4.2919,8.37079,"0,0,0,0,0,0,0,0,0,0",51.6472,30.609,21.4675,14.726,2.99922,13.866,10.5596,10.1167,9.98278,14.793,"0,0,0,0,0,0,0,0,0,0",49.3142,23.7593,17.6564,9.14331,13.9226,10.3742,14.6539,4.74511,5.35797,11.4918
8,14735283,9550655,CC(C)CN1C=C(C2=C(C1=O)N(C3=CC=CC=C32)C)C(=O)NC4CCN(CC4)CC5=CC=CC=C5,Inactive,41,,,>,20,,,"0,0,0,0,0,0,1,0,0,0",35.8364,21.5345,17.1105,17.5071,8.65405,10.3278,,9.28236,6.94936,7.31502,"0,1,0,0,0,0,0,0,0,0",37.814,,12.4754,7.03691,12.2746,3.56573,0.722867,8.40169,4.23525,9.91068,"0,0,0,0,0,0,0,0,0,0",37.1342,25.0417,9.95703,12.2385,12.1922,13.7269,7.67038,12.1561,9.16391,8.7004
9,17432829,1315772,COC1=C(C=C(C=C1)C2=CC(=NC(=C2C#N)OC)C3=CC=CS3)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",42.9075,30.5317,18.4187,9.86433,9.43172,3.04042,3.50393,5.27557,0.0534,10.2197,"0,0,0,0,0,0,0,0,0,0",43.304,34.348,15.8076,6.47555,18.7843,-1.12603,2.00525,9.70982,7.58797,10.6781,"0,0,0,0,0,0,0,0,0,0",39.0706,35.1668,17.0178,14.4325,4.70906,13.0986,-0.152653,4.05499,1.27393,14.7466
10,22415686,2902009,CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)NCCN)[N+](=O)[O-])Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",48.7683,23.713,8.8549,4.93566,10.539,4.06014,-0.420459,2.81896,7.36137,14.4016,"0,0,0,0,0,0,0,0,0,0",53.4755,27.9515,8.25234,4.28675,1.40268,5.47128,-0.935471,8.9167,-2.87706,9.81283,"0,0,0,0,0,0,0,0,0,0",47.9288,27.0245,9.18451,11.121,1.13488,5.68758,7.71158,4.99747,16.0187,11.0437
11,14728849,9549908,C1CCNC2=C(C=C(C=C2F)[N+](=O)[O-])C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C1)C(=O)N)CCCCN,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",56.4523,28.3584,16.6161,20.901,16.5749,7.62918,2.01555,10.1785,3.36488,-1.17753,"0,0,0,0,0,0,0,0,0,0",55.9167,29.5687,21.5396,19.6547,11.2137,9.74072,3.42153,11.43,2.1237,-0.621313,"0,0,0,0,0,0,0,0,0,0",57.2454,34.6827,15.035,20.968,14.6024,3.55028,7.99483,8.6489,-6.3946,-1.96034
12,14728848,9549907,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCNC2=C(C=C(C=C2F)[N+](=O)[O-])C(=O)N1)C(=O)N)CCCCN,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",42.8766,21.0967,6.67125,8.67465,6.08414,13.7218,4.43095,9.05061,10.2866,6.96481,"0,0,0,0,0,0,0,0,0,0",41.3779,22.8272,6.84636,4.86871,7.34592,8.20599,4.92536,2.96832,6.27469,7.52102,"0,0,0,0,0,0,0,0,0,0",38.4166,22.8684,7.58797,6.5837,1.99495,-3.78349,3.29278,6.5322,4.28675,5.47128
13,24812735,16193772,CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC=C2)C(C)(C)CC.[Br-],Active,55,,,=,16.922,1.944,1.134,"0,0,0,0,0,0,0,0,0,0",49.4172,38.6329,33.766,15.1741,-3.36633,-6.02379,-12.6108,-8.01173,0.516863,-0.209304,"0,0,0,0,0,0,0,0,0,0",49.5099,37.505,30.6502,8.7107,-7.54307,-5.97229,-5.73538,-6.09074,-0.353507,-3.81439,"0,0,0,0,0,0,0,0,0,0",50.1331,37.1136,22.6006,8.41714,-0.178403,-7.66667,-5.86413,-7.06411,-7.74393,0.146054
14,24812444,6621876,CN1C2=CC=CC=C2C3=C1C(=O)N(N=C3C(=O)NCC4=C(C=CC(=C4)OC)OC)C5=CC=C(C=C5)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",34.4716,28.8477,18.1612,21.5345,10.4926,3.75114,9.86948,6.77426,2.97347,-2.3878,"0,0,0,0,0,0,0,0,0,0",43.819,26.767,22.6109,22.101,11.739,9.58622,5.55883,11.672,-1.58438,2.66446,"0,0,0,0,0,0,0,0,0,0",40.2809,25.0263,14.3192,20.8392,15.0866,5.68758,8.98366,2.68506,-2.24875,-1.93459
15,24831076,2554096,CC(C)(C)C1=CSC(=N1)NC(=O)NC2=CC=CC=C2OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",45.2405,32.1283,14.5818,16.853,9.03001,4.5391,9.78707,3.32368,-1.81099,-5.99804,"0,0,0,0,0,0,0,0,0,0",50.7408,31.6287,16.8427,12.2746,6.58885,5.02837,7.00086,6.83091,-3.00582,-2.38265,"0,0,0,0,0,0,0,0,0,0",45.292,29.9704,17.2908,21.6684,9.81283,5.72878,5.28072,8.42229,-8.21774,-6.5182
16,24822823,2827177,C1=CC=C(C=C1)C(=O)C[N+]2=CC=C(C=C2)CCSC3=CC=C(C=C3)F.[Br-],Active,57,,,=,1.462,0.124,1.457,"0,0,0,0,0,0,0,0,0,0",85.4062,81.76,81.7239,77.2536,47.7383,23.3061,10.6523,4.35885,-11.3902,-8.05293,"0,0,0,0,0,0,0,0,0,0",84.7367,82.0381,81.281,76.512,47.8567,18.1251,5.78543,1.40268,-11.8228,-2.59381,"0,0,0,0,0,0,0,0,0,0",86.9976,82.4243,81.5385,77.5163,47.7949,12.1304,5.23952,3.46788,-15.876,-5.14312
17,24813505,786570,C1=CC=C(C=C1)N2C(=O)C3=C(C=CC(=C3)Br)NC2=S,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",32.4939,32.566,19.1654,15.2514,-4.07189,-9.03661,-10.3447,-5.27702,1.24818,-1.38868,"0,0,0,0,0,0,0,0,0,0",38.9728,33.6682,23.2804,13.0471,-2.60926,-4.247,-4.71566,-3.29937,-1.50198,4.64726,"0,0,0,0,0,0,0,1,0,0",23.8366,29.1,18.4908,11.9862,-2.21785,-7.22891,-9.34046,,-4.70021,3.44213
18,24781660,135460451,COC1=CC(=CC(=C1O)OC)/C=C/2\C(=O)NC(=NC3=CC=C(C=C3)O)S2,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",40.0389,31.2888,18.7534,10.0497,9.31841,11.9965,11.1879,4.70906,3.83869,2.25245,"0,0,0,0,0,0,0,0,0,0",42.1298,30.4493,19.0727,13.4385,9.17936,8.91155,6.4498,11.3012,4.36915,8.09269,"0,0,0,0,0,0,0,0,0,0",38.9934,35.0536,24.2126,12.939,16.3226,7.93303,11.6875,9.62227,8.62315,5.77513
19,24806624,3180068,CC(C)CC(C(=O)NC1CCCC1)N(CC2=CC3=C(C=C2)OCO3)C(=O)C4=C(C(=NS4)C(=O)N)N,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",46.0078,29.0485,13.902,9.05061,5.26012,14.2007,1.05248,9.10726,0.85162,10.4514,"0,0,0,0,0,0,0,0,0,0",45.977,26.8649,15.9363,10.0806,8.13389,11.7596,9.05061,7.97938,3.38033,9.69437,"0,0,0,0,0,0,0,0,0,0",43.0929,28.1369,13.4231,6.91846,15.1329,10.9355,7.03691,4.47215,4.13739,8.50985
20,24824251,16195681,CC1=C(C=C(C=C1)C(=O)N[C@@H](C)CN2[C@@H](CN3C2=NC[C@H]3CC4=CC=CC=C4)CC5=CC=C(C=C5)O)Br,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",34.4664,36.3308,24.4546,18.1097,15.3544,6.80516,3.44728,8.7725,3.95714,-2.59381,"0,0,0,0,0,0,0,0,0,0",35.9548,36.5986,22.5697,13.6342,16.2247,16.0393,8.11329,5.32192,3.38033,-1.61014,"0,0,0,0,0,0,0,0,0,0",34.5643,35.4089,26.4992,20.659,14.4273,12.0171,9.64287,10.1218,9.27721,3.81294
21,26666791,165308,C1CN=C(N1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)C(=O)NC4=CC=C(C=C4)C5=NCCN5)[N+](=O)[O-],Active,50,,,=,3.107,0.167,1.911,"0,0,0,0,0,0,0,0,0,0",92.637,86.7041,79.7308,37.7883,16.2144,10.8119,7.27382,5.05927,-6.4976,-4.06159,"0,0,0,0,0,0,0,0,0,0",93.7649,85.947,76.5635,28.8786,12.6505,8.23174,3.65843,11.3476,-8.13019,-6.25554,"0,0,0,0,0,0,0,0,0,0",92.8327,85.9985,78.0467,40.9504,9.51927,9.83343,2.58206,8.618,-12.8271,-5.71478
22,26663487,5994065,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",28.3532,0.516863,-2.99037,-7.11046,-7.73363,-10.0872,-7.78513,-3.18092,-1.27538,1.17608,"0,0,0,0,0,0,0,0,0,0",28.5438,1.83014,-5.05042,-9.72672,-3.73713,-8.69155,-9.72157,-4.24185,1.22243,6.5013,"0,0,0,0,0,0,0,0,0,0",30.8202,3.62238,-5.71478,-2.94917,-8.03233,-8.03748,-12.894,-6.88386,-5.45212,-4.68991
23,26670062,16682618,C1CCC(CC1)CCCCN2[C@@H](CN=C2N)CC3=CC=C(C=C3)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",33.6373,28.8219,26.0099,20.1131,13.3201,11.0386,10.6059,16.0702,-3.37148,-3.78864,"0,0,0,0,0,0,0,0,0,0",34.5746,28.4871,23.9499,21.5242,14.2059,10.7965,7.95878,9.34417,-2.60411,-3.42813,"0,0,0,0,0,0,0,0,0,0",38.4526,27.9618,16.2144,16.7191,12.0892,8.10299,7.70643,5.45582,-1.55349,-2.1097
24,26731947,16746146,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CC(=C(C=C3)C)NC(=O)C4=CC(=NN4)C5=CC=C(C=C5)Br)C(F)(F)F,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",25.2889,25.2168,11.8368,12.8411,14.0565,6.86696,4.04984,14.0205,12.599,15.3852,"0,0,0,0,0,0,0,0,0,0",19.7577,19.6238,9.16391,11.569,15.2926,15.3852,11.5278,12.2076,8.33989,13.6703,"0,0,0,0,0,0,0,0,0,0",20.7774,18.6813,8.64375,6.3056,4.93051,14.0256,8.89095,12.6969,9.61197,8.04118
25,49645637,24747241,C1CCC(C1)OC2=C(C=C(C=C2)Cl)NC3=NC(=NC(=N3)NCCO)N4CCCC4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",15.3492,8.04633,-0.729466,-4.23155,-1.88309,-5.93623,-5.90018,-8.6452,-6.47185,-0.0136,"0,0,0,0,0,0,0,0,0,0",6.7588,2.2988,-7.70273,-4.75686,-5.96713,-5.64268,-8.36194,-5.27187,2.19065,-1.19813,"0,0,0,0,0,0,0,0,0,0",16.7809,3.71509,-6.77055,-0.698565,-8.99025,-4.5148,-8.09928,-4.00494,-3.36118,0.321158
26,47200216,23724128,CC1=CC=C(C=C1)CN2C3=C(C=C(C=C3)C(=O)NCCCO)N=C2C(C)NC4=NC(=CS4)C5=CC=C(C=C5)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",15.0041,21.4624,12.7947,16.3638,18.4599,15.1638,8.33474,7.76308,10.3227,-0.45136,"0,0,0,0,0,0,0,0,0,0",16.3998,21.5139,10.2094,19.8453,15.205,10.7605,7.45407,8.43774,4.36915,-5.68388,"0,0,0,0,0,0,0,0,0,0",14.0411,13.6188,15.7509,15.7973,11.6051,12.7432,11.6051,13.4591,5.38372,-6.87871
27,47193803,16725179,C/C=C/1\COC(C=C1C=C2CCCCC2)(C(=O)NCCN3CCCC3)C(F)(F)F,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",25.361,26.6228,24.434,8.4738,19.9277,11.1982,6.5116,10.6987,2.09795,0.007,"0,0,0,0,0,0,0,0,0,0",27.9309,28.6107,17.7234,-1.05392,13.2067,8.55105,10.8686,4.84296,1.76834,-7.06411,"0,0,0,0,0,0,0,0,0,0",28.549,20.5148,34.4716,24.4701,14.4067,16.8994,13.1707,10.1785,0.321158,-3.99464
28,49647829,24747725,CCCCCCCCCCC[N+](C)(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.[Br-],Active,56,,,=,4.77,0.219,1.322,"0,0,0,0,0,0,0,0,0,0",85.4938,75.8734,51.5339,22.7396,15.0144,4.25585,3.95199,7.04206,-6.25554,-0.791267,"0,0,0,0,0,0,0,0,0,0",84.4947,74.3541,52.3991,26.2417,18.841,7.11416,6.03264,2.83957,-11.9619,-6.38429,"0,0,0,0,0,0,0,0,0,0",87.2706,76.3369,51.0344,26.1644,19.3972,11.1416,7.32532,5.93994,-3.98949,-3.11912
29,49673358,16239425,C1=CC=C(C=C1)COC2=C(C=C(C=C2)/C=N/N=C(N)N)OCC3=CC=CC=C3,Active,47,,,=,6.151,0.29,2.219,"0,0,0,0,0,1,0,1,0,1",89.959,80.7403,33.1274,15.9003,11.8059,,3.91079,,7.17596,,"0,0,0,0,0,0,0,0,1,0",88.0946,80.5033,35.2699,15.5655,8.84975,12.2694,3.45758,4.01894,,-1.32688,"0,0,0,0,0,0,0,0,0,0",88.1255,82.3265,30.8562,7.83003,10.1012,9.16391,2.25245,5.63093,-0.106302,-1.27538
30,49641306,24746808,C1=CC=C(C=C1)C2=NC(=NC3=C2C=C(C=C3)Cl)N=C(N)N.Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",33.4364,18.8976,10.4051,3.03527,-6.29674,-7.96023,-7.84693,-9.08811,1.44388,0.290257,"0,0,0,0,0,0,0,0,0,0",26.525,21.7817,8.45834,-0.265955,-6.5285,-11.2718,-9.13446,-3.89164,-5.46242,11.981,"0,0,0,0,0,0,0,0,0,0",31.6133,27.0863,11.0437,2.99407,-8.14049,-4.2058,-8.29499,-8.35164,-1.21358,2.76231
31,49729130,3180863,CC1=CC=C(C=C1)C(C(=O)NCC2CCCO2)N(C3=CC4=C(C=C3)OCCO4)C(=O)C5=C(C(=NS5)C(=O)N)N,Active,55,,,=,12.601,1.209,0.852,"0,0,0,0,0,0,0,0,1,0",60.5466,44.4731,20.7311,14.9887,16.8582,9.76647,9.72012,10.8635,,6.06869,"0,0,0,0,0,0,0,0,0,0",65.1972,44.4834,32.0665,22.0753,16.4513,2.79322,-1.36808,11.466,7.05751,10.3484,"0,0,0,0,0,0,0,1,1,0",62.5706,44.7718,30.748,14.5767,16.6213,7.79913,-1.08997,,,9.16906
32,49717722,20912356,CC1=CC=CC=C1CN2CCC(CC2)CNC(=O)C3CCCN(C3)C4=NC=NC5=C4N=C6N5CCCCC6,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",59.9132,40.7805,20.2573,14.1801,-0.235055,-2.89767,-3.88649,1.71169,9.23601,7.67038,"0,0,0,0,0,0,0,0,0,0",55.6849,41.965,24.8357,9.69952,-3.35088,-0.379258,-5.07102,-1.73889,-1.58438,8.5768,"0,0,0,0,0,0,0,0,0,0",61.3192,40.0852,22.7448,11.3733,-4.79806,-5.48817,-1.59469,0.712567,9.22056,10.4463
33,51086410,24892065,CN(C)CCCN(C1=NC2=C(S1)C=C(C=C2)Br)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCCC4.Cl,Active,53,,,=,13.413,0.956,1.437,"0,0,0,0,0,0,0,0,0,0",63.3174,43.2422,22.9199,4.83781,1.19668,-8.64005,-6.67785,-4.2161,2.92197,3.72024,"0,0,0,0,0,0,0,0,0,0",56.993,43.9272,19.7886,8.93215,-7.43492,-7.77998,-9.26836,-6.96111,3.27218,-2.1818,"0,0,0,0,0,0,0,0,0,0",57.5184,46.3941,21.4624,10.539,-6.36369,-6.6006,-10.8907,-6.63665,1.9692,4.34855
34,49828605,24820019,C1CCC(CC1)CNC(=O)C2(CCNCC2)CC3CC(=NO3)C4=CC(=CC=C4)Br,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",11.4506,7.50557,2.36061,-2.31055,-9.47952,-7.11046,-10.9267,-3.18607,2.52026,3.48848,"0,0,0,0,0,0,0,0,0,0",8.99911,8.19054,3.44213,-2.1406,-8.9233,-7.92933,-8.94905,-1.79039,1.60869,13.4179,"0,0,0,0,0,0,0,0,0,0",11.2034,10.6935,-1.59469,-0.0394,-12.4254,-6.16284,-10.5765,0.156354,7.77338,1.42843
35,49818187,24817255,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC(=C(C(=C3)Cl)N)Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",35.002,18.2745,1.81469,0.722867,-8.5525,-10.7001,-9.43317,-6.34309,-1.69254,-0.729466,"0,0,0,0,0,0,0,0,0,0",38.0252,17.4865,4.60091,1.51083,-9.25806,-6.95596,-7.29072,-7.43492,4.94081,8.55105,"0,0,0,0,0,0,0,0,0,0",32.051,15.1432,0.805269,4.89446,-13.6254,-6.6521,-12.5284,-4.10794,-2.3672,-5.06586
36,46501303,23641130,C1CCC(CC1)CCCCN2CCNC[C@@H]2CC3=CC=C(C=C3)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",5.09532,4.78631,-2.03245,-2.43416,-6.89416,-7.20316,-4.3397,-4.68476,8.12874,-1.12603,"0,0,0,0,0,0,0,0,0,0",6.44465,2.64386,-2.3672,-4.5045,-7.48127,-7.70787,-7.23921,-1.34233,1.47478,1.94345,"0,0,0,0,0,0,0,0,0,0",8.96306,8.6386,0.377809,-4.90106,-9.59282,-12.0803,-11.9722,-4.08734,3.37518,7.91758
37,85148714,44143978,CN1CCC2=C3[C@@H]1CC4=CC(=C(C=C4)OC)OC5=CC=C(C[C@H]6C7=C8C(=C(C=C7CCN6C)OC)OC(=C3O8)C=C2)C=C5,Active,52,,,=,15.951,1.803,0.64,"0,0,0,0,0,0,0,0,0,0",56.0712,38.0458,28.2245,29.0537,15.5346,10.2712,9.80252,7.70128,3.28248,0.455061,"0,0,0,0,0,0,0,0,0,0",57.472,47.5941,22.9817,19.5465,18.017,12.7226,2.2679,12.4548,4.82236,3.52453,"0,0,0,0,0,0,0,0,0,0",58.1982,38.1282,24.4237,35.754,15.2308,10.6626,7.03691,7.34592,1.36148,1.55719
38,85201048,44202133,C#CCOCCOCCOCCNC1=NC(=NC(=N1)N2CCN(CC2)C(=O)[C@H](CCCCN)N3C=C(N=N3)CN)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)CN,Active,48,,,=,5.359,0.281,2.086,"0,0,0,1,0,0,0,0,0,0",81.8681,81.2604,48.5108,,-2.2333,-6.12164,-4.07704,2.48936,-5.44697,2.60266,"0,0,0,0,0,0,0,0,0,0",80.4827,82.7591,46.322,18.6607,-5.31822,-4.14914,-1.75949,-4.98346,0.578664,4.82236,"0,0,0,0,0,0,0,0,0,0",80.9411,82.6715,49.6181,17.7543,-2.96977,-5.54483,-5.65813,-2.51656,-0.549212,1.27908
