PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_2.35uM_(%)_TEST1,Activity_at_4.6uM_(%)_TEST1,Activity_at_6uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_6uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_12uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0.15uM_(%)_TEST3,Activity_at_0.285uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.35uM_(%)_TEST3,Activity_at_4.6uM_(%)_TEST3,Activity_at_9uM_(%)_TEST3,Activity_at_18uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0.15uM_(%)_TEST4,Activity_at_0.285uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.35uM_(%)_TEST4,Activity_at_4.6uM_(%)_TEST4,Activity_at_9uM_(%)_TEST4,Activity_at_18uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4,ACTIVITY_OUTCOME_TEST5,ACTIVITY_SCORE_TEST5,ASSAYDATA_COMMENT_TEST5,AC50_Qualifier_TEST5,AC50_uM_TEST5,pAC50_M_TEST5,Hill_Slope_TEST5,S0_(%)_TEST5,Sinf_(%)_TEST5,Num_Points_TEST5,Max_Activity_(%)_TEST5,Max_Activity_Conc_uM_TEST5,Max_Concentration_uM_TEST5,Activity_at_0.15uM_(%)_TEST5,Activity_at_0.285uM_(%)_TEST5,Activity_at_0.3uM_(%)_TEST5,Activity_at_0.6uM_(%)_TEST5,Activity_at_1.2uM_(%)_TEST5,Activity_at_2.35uM_(%)_TEST5,Activity_at_4.6uM_(%)_TEST5,Activity_at_9uM_(%)_TEST5,Activity_at_18uM_(%)_TEST5,Activity_at_19.5uM_(%)_TEST5,ACTIVITY_OUTCOME_TEST6,ACTIVITY_SCORE_TEST6,ASSAYDATA_COMMENT_TEST6,AC50_Qualifier_TEST6,AC50_uM_TEST6,pAC50_M_TEST6,Hill_Slope_TEST6,S0_(%)_TEST6,Sinf_(%)_TEST6,Num_Points_TEST6,Max_Activity_(%)_TEST6,Max_Activity_Conc_uM_TEST6,Max_Concentration_uM_TEST6,Activity_at_0.15uM_(%)_TEST6,Activity_at_0.285uM_(%)_TEST6,Activity_at_0.3uM_(%)_TEST6,Activity_at_0.6uM_(%)_TEST6,Activity_at_1.2uM_(%)_TEST6,Activity_at_2.35uM_(%)_TEST6,Activity_at_4.6uM_(%)_TEST6,Activity_at_9uM_(%)_TEST6,Activity_at_18uM_(%)_TEST6,Activity_at_19.5uM_(%)_TEST6
219,85146097,44142070,CN1CCN(CC1)C2CCN(CC2)CC3=C4C=CC=NC4=C(C=C3)O,Active,60,,,=,1.11,5.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.26,5.900,1.2,16.634,-103.366,8,-94.197,18,18,2.63,1.546,,-6.28,-42.218,-72.677,-87.109,-93.033,-94.197,,2,60,,=,1.08,5.967,1.2,0,-104.644,8,-96.185,18,18,-5.369,-0.579,,-29.26,-62.025,-83.366,-95.206,-93.824,-96.185,,2,60,,=,0.976,6.011,1.2,0,-105.321,8,-96.728,18,18,1.031,-4.827,,-33.225,-67.209,-89.705,-93.017,-96.609,-96.728,,,,,,,,,,,,,,,,,,,,,,,,
220,49643876,24747033,CCN(CC)CCCN(C1=NC(=CS1)C2=CC=C(C=C2)Cl)C(=O)C3=CC=CO3.Cl,Active,47,,,=,19.18,4.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,21.81,4.661,1.2,-4.97,-100,7,-49.968,18,18,-7.597,-8.851,,-8.305,,-5.189,-10.92,-30.71,-49.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.55,4.781,1.136,-8.02,-100,8,-55.639,18,18,-10.182,-9.545,,-6.028,-15.479,-14.655,-26.35,-39.372,-55.639,
221,26666922,135460345,C1=CC(=CC=C1/C=C/C2=C(C=C(C=C2)C(=N)N)O)C(=N)N.C(CS(=O)(=O)O)O,Active,62,,,=,0.708,6.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,1.04,5.983,0.856,0,-111.608,8,-103.365,18,18,-16.094,-31.02,,-40.609,-59.826,-73.843,-89.155,-94.366,-103.365,,2,61,,=,0.773,6.112,1.2,0,-99.614,8,-97.776,9,18,-2.121,-18.658,,-46.693,-69.669,-75.52,-86.129,-97.776,-95.992,,2,63,,=,0.459,6.338,0.94,0,-99.903,8,-96.413,9,18,-22.339,-42.234,,-58.6,-67.925,-80.803,-90.524,-96.413,-95.575,,2,63,,=,0.561,6.251,0.913,0,-100.302,8,-97.088,18,18,-18.65,-43.537,,-46.249,-66.748,-79.741,-90.14,-89.857,-97.088,
222,26664781,319089,CN1C=CC(=NC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)N=C4C=CN(C5=C4C=C(C=C5)[N+](=O)[O-])C)C=C1,Active,59,,,=,1.28,5.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.26,5.900,1.024,0,-80,8,-78.842,18,18,-3.828,-15.716,,-26.49,-37.435,-58.446,-57.878,-67,-78.842,,2,59,,=,1.3,5.886,1.2,-15,-110.584,8,-104.244,9,18,-20.031,-35.896,,-38.756,-50.774,-85.701,-99.623,-104.244,-100.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,47204912,831190,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC=C(C=C3)OC,Active,48,,,=,14.98,4.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,35.16,4.454,1.2,-12.912,-100,7,-43.973,18,18,-24.232,,-12.766,,-11.763,-12.66,-12.431,-24.962,-43.973,,2,50,,=,10.79,4.967,1.062,-10,-100,8,-67.847,18,18,-13.08,,-14.111,-15.718,-21.778,-27.108,-27.416,-54.268,-67.847,,2,53,,=,5.01,5.300,0.91,13.246,-100,8,-74.924,18,18,12.174,,1.111,-1.6,-8.834,-27.44,-38.589,-57.386,-74.924,,2,50,,=,8.96,5.048,0.8,4.382,-100,8,-56.532,18,18,-3.511,,-2.442,-3.011,-9.908,-17.535,-44.227,-49.618,-56.532,
224,85198267,25058280,COC1=C(C=C2C(=C1)C(=O)C3=C(S2)C=CC(=C3)C4=CC=C(C=C4)CN5CCOCC5)OC,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.12973,8.12973,8,17.507,18,18,-2.831,5.528,,3.708,6.96,5.646,13.2,15.32,17.507,,2,62,,=,0.63,6.201,1.08,0,-93.735,8,-95.392,18,18,-16.598,-26.706,,-46.549,-61.912,-79.517,-79.451,-85.689,-95.392,,2,60,,=,0.918,6.037,1.2,0,-98.79,8,-90.885,18,18,-2.675,-7.958,,-32.146,-68.879,-80.585,-89.278,-89.759,-90.885,,1,0,,,,,,1.78989,1.78989,8,8.364,18,18,-4.859,-4.288,,4.8,2.142,-1.102,2.249,7.013,8.364,
225,49671199,430132,COC1=CC(=CC(=C1OC)OC)NC2=C3C=CC=CC3=NC4=CC=CC=C42,Active,53,,,=,5.17,5.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.03,4.999,0.927,9.48,-100,8,-57.253,18,18,10.169,4.944,,-1.421,-4.187,-14.674,-18.005,-50.287,-57.253,,2,55,,=,3.03,5.519,1.153,8.083,-100,8,-88.585,18,18,-0.562,8.839,,-6.394,-21.813,-40.465,-53.749,-77.901,-88.585,,2,56,,=,2.44,5.613,1.105,12.386,-100,8,-90.952,18,18,10.566,0.816,,-11.281,-19.706,-42.654,-62.438,-78.39,-90.952,,,,,,,,,,,,,,,,,,,,,,,,
226,99456833,46944113,COC1=CC(=NC(=N1)NC2=NC(=CS2)C(CCC3=CC=CC=C3)N)OC,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.40244,2.40244,8,-18.609,0.15,18,-18.609,-0.783,,-1.682,6.069,9.07,7.594,10.493,7.067,,2,48,,=,14.57,4.837,1.2,5.685,-100,8,-57.295,18,18,5.547,1.194,,-3.192,9.006,-3.85,-11.098,-32.763,-57.295,,2,50,,=,11.1,4.955,1.2,7.412,-100,8,-68.395,18,18,1.003,3.803,,1.737,6.84,1.117,-18.941,-38.805,-68.395,,,,,,,,,,,,,,,,,,,,,,,,
227,103059820,49786205,CC(C)C1=CC=C(C=C1)NC(=O)NC2=NC(=CS2)C(CC3=CC=C(C=C3)OC)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.89775,-2.89775,8,-8.459,18,18,-4.333,-5.28,,-0.961,-1.079,-1.592,-1.198,-0.281,-8.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.72479,8.72479,8,29.478,18,18,-12.546,-6.266,,19.968,-10.615,19.132,19.986,10.662,29.478,
228,26664122,2032585,CN(C)CCCN1C2=C(C3=C(S2)CCCCC3)C(=O)N(C1=O)CCC4=CC=CC=C4,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,7,-80.12,0.285,18,,-80.121,,-67.246,-56.611,-48.418,-46.909,-46.26,-62.884,,2,48,,=,15.31,4.815,0.902,1.902,-100,8,-51.698,18,18,-2.766,3.862,,-5.978,-7.833,-9.514,-27.05,-37.724,-51.698,,2,47,,=,21.51,4.667,1.2,-3.695,-100,8,-48.54,18,18,-14.355,-8.258,,-7.591,2.703,1.705,-16.52,-30.314,-48.54,,1,0,,>,36,4.444,0.814,6.891,-100,8,-22.75,18,18,2.302,4.535,,7.649,10.387,-7.673,-5.323,-12.514,-22.75,
229,49643523,24746988,CCN(CC)CCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Br.Cl,Active,48,,,=,17.19,4.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.89,4.622,1.2,-2.561,-100,8,-43.65,18,18,-7.68,-9.301,,-3.39,0.112,-2.869,-8.178,-30.229,-43.65,,2,48,,=,15.53,4.809,1.2,0.458,-100,7,-60.775,18,18,,2.147,,-4.504,-5.678,-8.891,-15.74,-27.849,-60.775,,2,49,,=,12.15,4.915,1.2,5.307,-100,8,-62.491,18,18,1.727,-0.457,,7.689,-0.614,-2.986,-19.871,-37.159,-62.491,,,,,,,,,,,,,,,,,,,,,,,,
230,99456673,46944006,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=CC=C3)C(=O)N(C)C)C4=CC=C(C=C4)N5CCN(CC5)C,Active,51,,,=,8.58,5.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.4,4.983,1.2,-0.248,-100,8,-70.116,18,18,-3.004,-2.892,,-2.796,-8.18,-9.794,-26.736,-44.04,-70.116,,2,53,,=,5.12,5.291,1.2,-7.395,-100,8,-89.013,18,18,-1.054,-19.173,,-13.435,-21.504,-28.755,-51.112,-68.125,-89.013,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.23,4.990,1.2,-0.832,-100,8,-64.451,18,18,-7.309,0.756,,-4.615,-4.486,-11.117,-30.342,-49.618,-64.451,
231,99494853,46948235,CN(C)CCNC(=O)C1=CC=CC(=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=CC=C4)OC,Active,55,,,=,3.43,5.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.04,5.517,1.2,3.59,-100,8,-92.079,18,18,1.482,-3.157,,-7.389,-23.511,-37.507,-60.808,-79.733,-92.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.82,5.418,1.2,-2.721,-100,8,-87.528,18,18,-0.044,-8.996,,-24.412,-8.588,-34.813,-61.8,-76.676,-87.528,
232,103075689,49790681,CN(C)CCNC(=O)C1=CC=CC(=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=CC=C4F,Active,54,,,=,3.69,5.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.25,5.372,1.2,3.24,-100,8,-92.729,18,18,1.74,-3.098,,-6.923,-9.86,-30.004,-47.764,-72.682,-92.729,,2,56,,=,2.54,5.595,1.2,-10.653,-103.963,8,-92.941,9,18,-14.247,-18.721,,-21.194,-36.663,-55.808,-71.812,-92.941,-92.806,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.28,5.369,1.118,2.359,-100,8,-82.761,18,18,-0.068,-1.666,,-8,-19.177,-31.084,-50.346,-69.841,-82.761,
233,24784047,16188309,CC1=CC(=CC(=N1)C)N2CCN(CC2)CC3=C(OC(=N3)C4=CC=C(C5=CC=CC=C54)OC)C,Active,52,,,=,7,5.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.81,5.107,1.2,-8.792,-100,8,-77.892,18,18,-18.762,-11.574,,-6.006,-13.505,-22.225,-39.929,-61.453,-77.892,,2,56,,=,2.56,5.592,1.2,-1.916,-100,7,-96.525,18,18,-7.361,,,-17.035,-22.177,-51.573,-67.725,-83.486,-96.525,,2,54,,=,4.34,5.363,1.2,8.606,-100,8,-85.417,18,18,10.445,-0.078,,-2.243,-5.702,-27.336,-46.927,-69.062,-85.417,,2,49,,=,13.28,4.877,1.086,-12.114,-100,8,-67.011,18,18,-16.398,-9.896,,-12.237,-19.62,-24.097,-38.978,-38.626,-67.011,
234,85198148,25058263,CN1C2=C(C=C(C=C2)NCCCN3CCOCC3)C(=O)C4=CC=CC=C41,Active,51,,,=,7.92,5.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.93,4.856,0.832,17.799,-100,7,-42.355,18,18,8.87,,,13.589,9.94,1.163,-26.285,-32.761,-42.355,,2,57,,=,1.9,5.721,1.038,-10,-100,8,-94.796,18,18,-23.754,-21.969,,-32.662,-41.041,-57.017,-76.898,-86.796,-94.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,24820936,16195186,CCOC(=O)C1=C(N(C2=CC(=C(C=C21)O)Br)C)CNC3=CC=NC=C3.Cl,Active,48,,,=,15.6,4.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,22.75,4.643,1.2,10.154,-100,8,-39.13,18,18,1.601,6.878,,15.833,12.073,-0.411,1.458,-17.133,-39.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.45,5.073,1.089,-0.485,-100,8,-69.173,18,18,2.129,-6.837,,-5.584,-11.566,-21.572,-30.749,-54.401,-69.173,
236,24813191,15538510,CC1=CC(=CC2=[N+](C3=CC=CC=C3S2)C)C=C(O1)C.[O-]Cl(=O)(=O)=O,Active,52,,,=,5.78,5.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.47,4.940,1.106,1.953,-100,8,-56.344,18,18,-6.492,0.035,,5.773,-6.872,-5.659,-30.868,-46.985,-56.344,,2,53,,=,4.67,5.331,0.917,15,-100,8,-73.476,18,18,15.589,6.995,,4.875,-19.546,-28.092,-31.334,-64.823,-73.476,,2,57,,=,1.92,5.717,1.197,9.38,-73.014,8,-66.224,18,18,7.054,-1.617,,-3.001,-23.974,-35.491,-49.867,-64.989,-66.224,,2,53,,=,5.07,5.295,0.8,-0.511,-100,8,-72.917,18,18,-3.083,-11.393,,-19.182,-24.476,-32.652,-46.795,-64.412,-72.917,
237,26666180,72512,CC1=C2C=CN=CC2=C(C3=C1NC4=C3C=C(C=C4)OC)C,Active,50,,,<,11.12,4.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.35,5.197,1.05,-3.381,-100,8,-75.21,18,18,-7.965,,-6.125,-9.339,-19.611,-18.936,-56.702,-54.684,-75.21,,2,68,,<,0.15,6.824,1.2,0,-102.617,7,-102.927,2.35,9,-84.178,,-92.584,-97.786,-102.904,-102.927,-102.222,-100.365,,,2,68,,<,0.15,6.824,0,-84.3033,-84.3033,8,-107.04,2.35,18,-74.437,,-94.674,-102.179,-105.021,-107.04,-102.353,-48.181,-40.541,,2,50,,=,11.12,4.954,0.971,-18.449,-100,8,-63.963,18,18,-45.165,,1.817,-13.727,-31.126,-30.63,-49.329,-56.906,-63.963,
238,7975757,10145,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC,Active,57,,,=,2.14,5.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.06,5.686,1.2,4.115,-76.004,8,-67.04,18,18,-3.405,0.683,,-10.424,-19.209,-39.968,-57.908,-66.736,-67.04,,2,56,,=,2.7,5.569,0.8,0,-100,8,-65.265,2.35,18,-8.957,-7.657,,-19.029,-40.756,-65.265,-64.695,-64.784,-55.699,,2,56,,=,2.32,5.635,0.8,0,-100,7,-62.855,4.6,9,-3.429,-13.047,,-26.639,-50.082,-54.464,-62.855,-60.899,,,2,58,,=,1.47,5.833,1.036,14.323,-65.677,8,-57.26,9,18,4.905,-0.392,,-6.686,-17.611,-37.935,-49.236,-57.26,-53.604,
239,92764757,40304,C[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC(=C(C=C4C=C3)O)OC)OC)OC.[Cl-],Active,66,,,<,0.244,6.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66,,=,0.244,6.613,1.2,0,-99.709,8,-98.611,4.6,18,-34.41,,-49.505,-81.465,-93.855,-92.595,-98.611,-94.952,-95.016,,2,68,,<,0.15,6.824,1.2,0,-105.765,8,-107.757,1.2,18,-56.907,,-80.32,-101.8,-107.757,-99.628,-103.175,-100.997,-102.687,,2,68,,<,0.15,6.824,1.2,0,-99.502,8,-102.499,18,18,-58.938,,-75.254,-90.684,-98.578,-99.262,-94.745,-92.41,-102.499,,2,66,,=,0.24,6.620,1.2,0,-112.992,8,-114.33,9,18,-39.636,,-63.101,-83.637,-104.03,-110.547,-108.449,-114.33,-105.546,
240,134214395,56588053,CC1=C2C(=CC=C1)N=C(C(=N2)C3=CC=C(C=C3)CN4CCC(CC4)N5C=C(NC5=O)C6=CC=CC=C6)C7=CC=CC=C7.C(=O)(C(F)(F)F)O,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.561801,-0.561801,8,5.929,9,18,-4.206,-5.53,,-2.208,-5.229,3.189,-0.162,5.929,3.723,,2,48,,=,17.8,4.750,0.8,15,-100,7,-46.14,18,18,26.424,6.487,,-2.798,5.351,,-18.517,-18.797,-46.14,,2,48,,=,15.83,4.801,1.2,-3.705,-100,8,-56.221,18,18,-4.05,-15.723,,3.671,-8.608,-9.67,-17.943,-39,-56.221,,1,0,,,,,,15.9661,15.9661,8,39.136,18,18,11.97,3.443,,11.678,6.889,11.672,19.568,23.373,39.136,
241,17514790,12005894,CN(C)CCCN(C1=NC2=C(C=CC=C2S1)F)C(=O)C3=CC4=C(CCCC4)C=C3.Cl,Active,45,,,=,35.2,4.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,35.2,4.453,1.06,17.219,-100,8,-20.323,18,18,16.546,17.563,,13.051,14.097,13.68,5.827,-7.848,-20.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,85201065,44202150,CC[C@H](C)C(C1=CN(N=N1)[C@@H](CCCN=C(N)N)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)[C@H](CC(=O)N)N)NCCOCCOCCOCC#C)N,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-13.8583,-13.8583,8,-24.975,18,18,7.51,-20.53,,-22.44,-17.795,-9.764,-8.498,-14.373,-24.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.83,5.417,0.98,0,-100,5,-32.688,2.35,2.35,11.565,-6.786,,-19.074,-31.527,-32.688,,,,
243,49730946,22588121,CCN1CCN(CC1)CCNC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CC(=C4)C)C5=CC=CC(=C5)C,Active,49,,,=,13.48,4.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.86,4.724,0.929,-2.915,-100,7,-50.542,18,18,-6.507,-4.633,,-2.868,,-16.892,-24.099,-34.518,-50.542,,2,52,,=,5.65,5.248,0.952,2.26,-100,8,-72.573,18,18,3.264,-6.308,,-17.616,-6.189,-27.777,-49.193,-59.785,-72.573,,2,51,,=,8.66,5.062,1.2,-1.542,-100,8,-70.61,18,18,-7.837,-11.266,,-0.759,0.256,-14.109,-34.215,-56.441,-70.61,,2,47,,=,20.74,4.683,0.8,10.571,-100,8,-41.038,18,18,8.765,7.657,,10.046,-6.13,-9.14,-14.243,-25.61,-41.038,
244,103163344,1566588,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCCCN(C)C,Active,52,,,=,7.08,5.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.97,4.887,1.085,12.731,-100,8,-53.306,18,18,12.626,,9.348,9.07,5.719,-2.99,-14.689,-33.034,-53.306,,2,55,,=,3.01,5.521,1.038,10.144,-100,8,-85.658,18,18,12.339,,-4.929,-12.339,-18.37,-33.62,-57.478,-75.583,-85.658,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.26,5.279,0.8,20,-100,8,-59.395,18,18,22.054,,-2.748,10.345,-10.478,-26.948,-38.045,-53.15,-59.395,
245,56463594,16218886,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.O.Cl,Active,50,,,=,10.03,4.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.03,4.999,1.2,6.656,-100,8,-63.738,18,18,1.531,6.603,,0.71,3.711,-2.683,-27.053,-45.255,-63.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,26732644,16746591,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.O.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,9.846,-100,8,-16.774,18,18,9.957,5.35,,8.771,7.457,5.132,-6.05,-12.438,-16.774,,2,47,,=,19.73,4.705,1.2,-6.391,-100,8,-52.194,18,18,-14.709,-0.285,,-7.229,-9.233,-16.527,-12.407,-34.181,-52.194,,2,47,,=,19.1,4.719,1.2,15,-100,8,-39.019,18,18,23.159,21.961,,19.846,17.476,11.66,-3.98,-21.335,-39.019,,,,,,,,,,,,,,,,,,,,,,,,
247,7965854,5307871,C1CC(OC1)CNC(=O)C2=NN=C(O2)CC3=CC=C(C=C3)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.07418,8.07418,8,14.357,0.3,18,6.869,,14.357,6.019,5.425,7.075,9.842,11.228,3.779,,1,0,,,,,,-18.6715,-18.6715,8,-27.31,4.6,18,-18.757,,-20.895,-20.473,-20.44,-18.125,-27.31,-16.855,-6.516,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,12.8129,12.8129,8,19.573,18,18,12.038,,3.009,14.017,18.785,8.162,8.457,18.463,19.573,
248,51089308,18563831,CN(C)CCN(C1=NC2=CC3=C(C=C2S1)OCCO3)C(=O)C4=CC5=C(CCCC5)C=C4.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,6.898,-100,8,-23.913,18,18,12.389,4.172,,6.633,0.275,-9.423,-8.693,-9.988,-23.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-19.2212,-19.2212,8,-33.036,9,18,-8.117,-9.97,,-8.435,-18.854,-15.143,-27.522,-33.036,-32.693,
