PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,80,40,20,10,5,2.5,1.25,0.625,0.3125,0.15625,,80,40,20,10,5,2.5,1.25,0.625,0.3125,0.15625
1,14734157,9550563,C1=CC(=C(C=C1N2C(=O)NC3=CC(=C(C=C3N2O)Cl)Cl)Cl)Cl,Active,55,,,=,12,1.15,1.216,"0,0,0,0,0,0,0,0,0,0",87.3095,77.6284,68.7313,45.5586,34.8473,-1.70374,6.87199,-5.13579,5.71115,-9.52232,"0,0,0,0,0,0,0,0,0,0",86.3263,79.959,61.3536,51.946,24.8832,8.89908,-2.69141,15.2068,-3.66208,8.74509
2,17415526,1366188,C1=CC(=CC=C1CC2=CC=NC=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,55,,,=,10.9,1.29,1.232,"0,0,0,0,0,0,0,0,0,0",84.061,78.7195,68.737,51.1683,35.2189,0.761875,-7.78639,-0.552265,-7.76264,-8.91421,"0,0,0,0,0,0,0,0,0,0",79.7493,76.7844,71.0246,50.9975,43.5211,5.23837,-1.16977,-7.07145,8.19533,-3.45517
3,14739832,9613476,COC(=O)C(/C=N/OCC1=CC=C(C=C1)[N+](=O)[O-])NC(=O)C2=C(C=C(C=C2)Cl)Cl,Active,56,,,=,10.4,0.836,1.116,"0,0,0,0,0,0,0,0,0,0",87.4055,77.3849,67.0387,52.9002,37.9094,16.9858,1.66485,0.916726,5.29234,11.458,"0,0,0,0,0,0,0,0,0,0",87.6363,82.5059,67.9704,48.505,37.1799,4.6138,1.39707,3.02688,10.9424,2.0006
4,17517444,5142145,CC(=O)NC(=S)NC1=C(C2=C(S1)CCCCC2)C#N,Active,55,,,=,13.6,2.11,1.04,"0,0,0,0,0,0,0,0,0,0",73.2446,68.3115,71.196,43.3906,27.5706,-1.07196,-11.3822,6.4101,-10.8391,-11.7551,"0,0,0,0,0,0,0,0,0,0",72.2155,72.0947,68.059,51.1516,38.9384,3.70315,3.06631,15.2534,3.1329,-0.813957
5,17434082,896140,C1=CC(=CC(=C1)Cl)CCNC(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,54,,,=,9.95,0.836,1.456,"0,0,0,0,0,0,0,0,0,0",91.334,84.6354,70.194,53.8627,35.0422,6.80232,-5.49678,-8.50085,-6.34609,2.73019,"0,0,0,0,0,0,0,0,0,0",92.0541,84.3873,69.8805,55.8612,31.7831,5.63919,-9.43082,-3.99726,9.96657,5.37256
6,17431997,1304167,CC1=CC=CC=C1CN(C2=CC=C(C=C2)C(=O)NC3=C(C=CC(=C3)[N+](=O)[O-])OC)S(=O)(=O)C,Active,56,,,=,6.91,0.761,1.322,"1,0,0,0,0,0,0,0,0,0",,90.1112,83.3611,56.5901,49.6696,4.3324,19.239,4.37203,19.7096,4.13084,"1,0,0,0,0,0,0,0,0,0",,91.1165,78.987,62.7248,46.3986,7.86475,11.4954,13.4806,-6.10271,3.42951
7,22406902,2679190,CC1=CSC(=N1)NC(=O)CCNC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,53,,,=,7.66,0.767,1.575,"0,0,0,0,0,0,0,0,0,0",90.8682,85.7874,75.4278,65.0501,46.1938,1.39604,-3.92385,0.561177,-2.8592,-3.25333,"0,0,0,0,0,0,0,0,0,0",90.1581,84.9717,77.4999,62.1234,49.1831,-2.60712,-0.538416,-5.01309,-0.680629,0.162456
8,17515892,2333121,C1=CC=C(C=C1)CCNC(=S)NC2=CC(=CC=C2)[N+](=O)[O-],Active,56,,,=,9.04,1.06,1.15,"0,0,0,0,0,0,0,0,0,0",86.341,83.9186,73.0694,53.813,32.9205,-0.778232,11.0134,16.6488,12.9621,3.2735,"0,0,0,0,0,0,0,0,0,0",86.6726,83.0436,72.3559,61.1446,42.4641,7.35932,11.0393,0.701662,5.71957,18.6043
9,17516186,3960556,CC1=CC(=C(C=C1C)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NCCO)C,Active,55,,,=,13.3,1.55,1.05,"0,0,0,0,0,0,0,0,0,0",82.2659,71.1131,56.0214,54.9672,41.0799,3.08899,-5.02045,3.1379,1.85426,-6.48669,"0,0,0,0,0,0,0,0,0,0",82.0711,72.6128,60.4651,47.2016,33.3412,0.35933,2.59448,4.2435,-1.76728,-6.30075
10,17513455,2251550,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C3=CC=C(C=C3)[N+](=O)[O-])C4=C(NN(C4=O)C5=CC=CC=C5)C,Active,45,,,=,5.6,0.415,2.564,"0,0,0,0,0,0,0,0,0,0",99.3738,94.9506,88.0136,73.4679,55.7665,-5.97292,-2.59925,-0.24957,-5.31025,-9.16954,"0,0,0,0,0,0,0,0,0,0",99.0884,95.9946,89.1114,74.7763,54.8573,-2.33569,-3.07493,0.700136,1.5102,-1.2651
11,17508741,135464707,COC1=CC(=CC(=C1O)[N+](=O)[O-])/C=N/NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OCC4=CC=CC=C4,Active,49,,,=,8.12,0.962,1.901,"0,0,0,0,0,0,0,0,0,0",95.0157,87.8433,77.7101,62.769,41.0683,-10.5061,-7.22373,-12.1166,-7.38059,-10.2458,"0,0,0,0,0,0,0,0,0,0",94.2456,88.44,76.5763,60.7204,44.9548,-7.66561,-13.027,-6.70346,-11.9836,-5.32804
12,17510599,9657888,CC(C)(C)C1=CC=C(C=C1)/C=N/NC2=CC=C(C=C2)C(=O)O,Active,53,,,=,8.76,0.879,1.521,"0,0,0,0,0,0,0,0,0,0",87.3209,84.2845,73.132,59.8251,39.6108,-1.00365,-1.85371,-4.83775,-3.33064,-3.44972,"0,0,0,0,0,0,0,0,0,0",89.1203,83.3425,75.5365,60.0483,43.9355,-4.64107,-2.68254,-2.79009,-2.59054,-0.631625
13,22407653,2401639,CC(C)CN1C(=NN=C1SCC(=O)NC2=C(C=C(C=N2)C(F)(F)F)Cl)C3=CC=C(C=C3)OC,Active,53,,,=,3.55,0.378,1.64,"0,0,0,0,0,1,0,0,0,0",97.6009,94.4191,90.3674,84.3592,68.941,,13.2249,6.33267,15.0223,8.42311,"0,0,0,0,0,1,0,0,0,0",96.3216,91.1907,90.0099,78.5883,70.2796,,9.62663,-9.14714,12.4327,-5.96393
14,22402733,135521547,C1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=CS2)/C(=O)N/N=C/C3=C(C=CC(=C3)[N+](=O)[O-])O,Active,55,,,=,13.8,2.24,0.923,"0,0,0,0,0,0,0,0,0,0",64.2277,71.1089,62.5792,51.5515,42.2947,1.06029,1.76125,-2.41283,0.596384,-5.87762,"0,0,0,0,0,0,0,0,0,0",68.7515,74.3865,60.3051,53.7891,38.818,5.35827,-4.96628,5.37609,-3.52504,0.612855
15,22407997,4324320,CCC1=CC=C(C=C1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NCCO,Active,44,,,=,3.82,0.193,4.422,"0,0,0,0,0,0,0,0,0,0",97.5071,95.9109,93.6357,86.6679,77.49,21.2919,1.17933,2.58557,6.47615,9.52545,"0,0,0,0,0,0,0,0,0,0",97.7108,96.8044,92.9018,87.2354,79.4825,2.18762,0.249368,2.32535,2.20207,5.93308
16,17510399,9595793,CC1=CC(=CC=C1)OCC(=O)N/N=C/C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,51,,,=,8.84,1.24,1.735,"1,1,0,0,0,0,0,0,0,0",,,66.4274,60.7002,40.2826,-3.40194,-8.66525,-8.85534,-11.145,-11.8679,"1,1,0,0,0,0,0,0,0,0",,,70.9644,58.0117,43.0726,-10.1776,-8.11216,-9.91444,-4.52068,-9.68856
17,22415782,5733428,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)NCCSCC2=CC=CO2,Active,55,,,=,10.1,1.09,1.307,"0,0,0,0,0,0,0,0,0,0",87.1363,80.39,67.0849,57.7477,32.8075,-8.96608,9.16493,-3.7888,-0.119207,-3.55491,"0,0,0,0,0,0,0,0,0,0",87.1681,80.6131,71.6959,56.1064,38.0666,9.80723,-9.13116,12.1888,1.56638,-1.82673
18,17514219,3562364,CC1=CC=C(C=C1)S(=O)(=O)N2CC(C(=N2)C(=O)C3CO3)C4=CC(=CC=C4)[N+](=O)[O-],Active,55,,,=,11,0.873,1.284,"0,0,0,0,0,0,0,0,0,0",89.5331,82.2264,65.5269,45.3428,38.8074,-1.95151,1.23199,-0.241325,-0.624723,7.05642,"0,0,0,0,0,0,0,0,0,0",89.3984,80.2456,71.1383,53.2613,26.8353,3.77482,13.2717,2.86647,-1.25889,1.10306
19,17504029,1111112,CC1=C(C(=NN1CC(=O)N2CCC3=CC=CC=C3C2)[N+](=O)[O-])Br,Active,54,,,=,6.67,0.625,1.491,"0,0,0,0,0,0,0,0,0,0",95.3461,87.545,77.7422,67.8824,50.9597,2.27901,-0.269173,-6.30321,-1.38006,14.5542,"0,0,0,0,0,0,0,0,0,0",92.4367,89.5733,78.182,66.4097,49.3194,12.6761,13.0399,1.16996,-1.19334,6.72338
20,17510677,4303460,C1=CC=C(C=C1)CCNC(=S)NC2=CC=C(C=C2)[N+](=O)[O-],Active,54,,,=,15,2.3,0.832,"0,0,0,0,0,0,0,0,0,0",80.4762,71.2101,58.1748,33.6625,25.9489,-0.714222,18.4943,0.528066,16.3527,14.0227,"0,0,0,0,0,0,0,0,0,0",78.8734,72.8744,60.0115,48.4459,18.5107,22.8157,16.2841,25.1521,-3.9784,11.9131
21,22405552,6021918,CC(C(=O)NC1=C(C=CC(=C1)[N+](=O)[O-])OC)OC(=O)/C=C/C2=CC=CO2,Active,52,,,=,6.45,0.725,1.699,"0,0,0,0,0,0,0,0,0,0",96.5808,88.3286,82.7678,64.2369,55.8908,-9.44022,3.17771,-13.1276,1.93763,-5.0969,"0,0,0,0,0,0,0,0,0,0",96.2732,90.6673,80.3441,69.1727,49.0175,20.1423,-3.33208,9.47263,-2.917,14.7564
22,17506504,1332281,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2OC(=O)C3=CC(=C(C=C3)Br)[N+](=O)[O-],Active,50,,,=,5.97,0.633,1.868,"0,0,0,0,0,0,0,0,0,0",98.0688,93.5801,84.8228,71.5778,52.1655,8.75397,12.2549,17.0998,13.1509,-6.20072,"0,0,0,0,0,0,0,0,0,0",99.4532,95.4687,87.7389,64.5427,59.2397,-7.23252,-6.04949,4.06585,6.35124,-0.752884
23,87342217,9551413,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N(C)C)C(=O)NCC3=CC4=C(C=C3)OCO4,Active,52,,,=,12.1,1.28,1.572,"0,0,0,0,0,0,0,0,0,0",93.443,89.0531,66.9655,48.1427,28.7133,-14.9734,1.60208,-9.85356,17.0528,13.2747,"0,0,0,0,0,0,0,0,0,0",93.7952,83.6161,67.9281,38.2579,23.0082,14.2036,-4.90655,6.48638,-9.74944,-6.45442
24,24832157,4879457,CN(CCOC1=CC=CC=C1)CC(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])Cl,Active,52,,,=,12.7,1.65,1.531,"0,0,0,0,0,0,0,0,0,0",82.554,78.9733,67.9872,48.4437,27.5718,-11.7612,-7.47753,-14.5797,-4.58472,-12.2441,"0,0,0,0,0,0,0,0,0,0",81.3905,81.2499,65.5018,51.0383,23.4965,-14.329,-7.09097,-3.89399,-2.24743,9.10291
25,24788842,16189370,CCCNC(=O)/C(=C/C1=CN(C2=CC=CC=C21)S(=O)(=O)N(C)C)/NC(=O)C3=CC=C(C=C3)OC,Active,49,,,=,6.75,0.73,1.897,"0,0,0,0,0,0,0,0,0,0",92.1307,87.5036,79.4533,67.7306,43.3849,-1.56305,3.59767,-9.01097,-5.49937,-11.8016,"0,0,0,0,0,0,0,0,0,0",94.2715,87.0644,83.1969,67.7975,57.4749,-6.1187,-3.95515,-3.09666,-9.29091,-2.12551
26,24809914,2889746,CCCC(C)C(=O)NC1=C(C=CC(=C1)[N+](=O)[O-])Cl,Active,55,,,=,11.8,1.48,1.124,"0,0,0,0,0,0,0,0,0,0",82.4422,76.293,65.1668,52.5689,38.4958,-6.46956,-2.88016,0.752393,3.42893,4.03916,"0,0,0,0,0,0,0,0,0,0",82.1995,76.0052,69.8846,47.0007,32.8079,3.02228,17.1125,4.29115,-4.16714,18.2166
27,24781916,1509690,CC1=C(C(=NN1CC(=O)NC2=CC=C(C=C2)C(C)C)[N+](=O)[O-])Br,Active,49,,,=,6.92,0.771,1.919,"0,0,0,0,0,0,0,0,0,0",90.8591,89.4937,78.4613,73.3373,43.8657,4.87649,-2.81489,2.11027,-3.07933,-11.1867,"0,0,0,0,0,0,0,0,0,0",92.5696,85.1674,81.2908,64.0438,51.7493,-10.8176,-9.68261,-11.6142,2.57159,9.1303
28,24823552,135439766,C1=CC(=C(C=C1Cl)/C=N/NC(=O)CN2C=NC(=N2)[N+](=O)[O-])O,Active,47,,,=,2.94,0.318,2.325,"0,0,0,0,0,1,0,0,0,0",90.0336,89.5343,89.4159,88.0644,82.5994,,3.41266,2.05823,-0.478002,-5.98615,"0,0,0,0,0,1,0,0,0,0",90.7021,89.7939,88.8236,88.9802,80.6538,,16.3688,0.867153,-3.69979,1.71932
29,24823100,135403929,CC1=C(C=CC(=C1)Cl)NC(=O)CCC(=O)N/N=C/C2=C(C=CC(=C2)[N+](=O)[O-])O,Active,56,,,=,8.57,1.09,1.223,"1,0,0,0,0,0,0,0,0,0",,68.6317,72.631,62.8455,31.1157,17.7113,-10.3344,13.8272,-7.92411,1.84078,"1,1,0,0,0,0,0,0,0,0",,,70.6282,62.4116,39.4801,21.0398,8.22807,-9.30008,2.19986,-8.92377
30,14745234,135489080,C1=CC2=NN(N=C2C=C1)CC(=O)N/N=C/C3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O,Active,54,,,=,6.5,0.662,1.525,"1,1,0,0,0,0,0,0,0,0",,,75.8417,69.8254,43.748,-1.7891,14.8978,5.87167,3.16633,2.39473,"1,1,0,0,0,0,0,0,0,0",,,75.5106,71.8192,51.0751,14.331,1.44657,9.42144,6.35661,7.75594
31,24782160,4233194,C1OC2=C(O1)C=C(C=C2)NC(=O)COC(=O)C3=C(C=CC(=C3)[N+](=O)[O-])NCCO,Active,56,,,=,4.51,1.24,0.775,"0,0,0,0,0,1,0,0,0,0",67.3647,71.563,76.5074,78.2392,75.4054,,17.0587,29.129,13.2519,11.8643,"0,0,0,0,0,0,0,0,0,0",69.943,73.5626,74.8112,84.0032,71.1751,10.0895,18.7278,10.318,6.35451,-10.8955
32,24802847,2895710,C1=CC=C(C=C1)CCCNC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,45,,,=,3.28,0.402,2.825,"0,0,0,0,0,1,0,0,0,0",93.575,92.3205,90.3722,85.7646,83.3027,,11.8173,-5.69127,-7.0678,-2.30632,"0,0,0,0,0,1,0,0,0,0",94.0494,93.7296,90.2197,84.48,78.3902,,-6.02854,-3.11244,-2.8282,-1.41038
33,24795988,1291084,CCOC1=C(C(=CC(=C1)/C=C(/C#N)\C2=CC=C(C=C2)Cl)Cl)OCC(=O)O,Active,54,,,=,10.4,1.34,1.375,"0,0,0,0,0,0,0,0,0,0",86.0804,79.183,70.9169,49.6536,41.2113,0.724537,-1.08556,-10.249,-1.1921,-10.9947,"0,0,0,0,0,0,0,0,0,0",85.3179,80.8791,66.2198,61.8513,34.9947,-8.01073,-7.42164,4.00671,-13.1692,2.01985
34,24796243,2988088,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC34CC5CC(C3)CC(C5)C4,Active,54,,,=,14.7,1.86,0.87,"0,0,0,0,0,0,0,0,0,0",81.5217,73.5278,52.3486,37.1309,25.1009,5.70629,4.51186,15.7744,5.62867,4.49234,"0,0,0,0,0,0,0,0,0,0",82.8268,72.7466,57.3226,50.5275,22.7631,26.8917,0.100059,19.3693,15.221,13.705
35,26729336,2746833,CC1=NC(=C(S1)C(=O)SC2=CC=C(C=C2)Cl)C(F)(F)F,Active,52,,,=,12.3,0.839,1.537,"0,0,0,0,0,0,0,0,0,0",91.1466,84.7541,71.325,45.6526,26.5201,0.718906,3.68849,-0.197207,-9.19624,-1.18319,"0,0,0,0,0,0,0,0,0,0",90.1055,85.1144,66.7509,38.645,20.8117,-2.62787,12.9581,-6.3302,-4.10751,-7.86275
36,26660664,6355593,CN(C)CCCNC(=O)/C(=C\C=C\C1=CC=CC=C1)/NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,44,,,=,4.11,0.561,8.888,"0,0,0,0,0,0,0,0,0,0",93.7407,93.7138,92.2834,90.9385,84.3956,-1.17486,3.83426,7.61267,4.57684,10.0165,"0,0,0,0,0,0,0,0,0,0",93.5164,93.9696,92.4462,91.3921,85.6663,2.94005,3.20545,2.33204,-1.9387,14.4918
37,26659002,3270222,CCCC(=O)N(C1CC(C(C1(C#N)C#N)(C#N)C#N)C)N(C)C,Active,55,,,=,8.51,1.23,1.369,"0,0,0,0,0,0,0,0,0,0",84.85,78.9405,70.8996,65.2769,48.2138,-4.62423,-6.09763,-3.06401,-9.62128,-3.66591,"0,0,0,0,0,0,0,0,0,0",84.6155,77.8645,71.9435,61.7,51.1863,0.863127,-2.49868,-7.40594,-1.38684,-6.99165
38,26731828,16746033,CN1C(CC2C1C3=NC4=CC(=C(C=C4N3C2)Cl)Cl)C(=O)NCC5=CC(=CC=C5)Br,Active,55,,,=,10.3,1.34,1.283,"0,0,0,0,0,0,0,0,0,0",87.0773,80.893,66.3133,53.8123,32.9017,-2.58174,-3.42158,9.90627,-12.0218,-3.6505,"0,0,0,0,0,0,0,0,0,0",85.8512,80.6661,65.6778,57.6701,50.7755,-1.54417,-6.86292,5.08601,-4.04798,-3.34091
39,49669790,1187240,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])NC4=CC(=CC=C4)O,Active,55,,,=,13.2,2.18,1.259,"0,0,0,0,0,0,0,0,0,0",72.7863,72.1574,68.0733,47.0264,30.3033,-12.1831,3.81099,-2.68185,-13.9328,-3.01042,"0,0,0,0,0,0,0,0,0,0",70.2417,76.0147,72.7496,55.7498,23.1945,1.58171,-20.2764,-2.57123,8.03378,-10.1429
40,49674643,8713414,C1=CC=C(C=C1)CCNC(=O)CCNC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,54,,,=,11.2,1.47,1.356,"0,0,0,0,0,0,0,0,0,0",81.01,79.6423,70.6815,52.4606,38.6521,-2.88694,-10.6034,-2.03564,-2.28525,-6.7026,"0,0,0,0,0,0,0,0,0,0",83.4024,78.5304,67.3965,51.109,37.9964,-11.8122,2.26915,-7.24373,-8.53577,-2.97282
41,49721039,24791577,CN(C)S(=O)(=O)N1C=C(C2=CC=CC=C21)/C=C(/C(=O)N3CCOCC3)\NC(=O)C4=CC=C(C=C4)OC,Active,44,,,=,4.26,0.492,8.841,"0,0,0,0,0,0,0,0,0,0",97.9345,93.1529,89.6911,81.8386,72.7514,-8.94645,-7.65173,-9.76599,-4.10282,-12.6061,"0,0,0,0,0,0,0,0,0,0",97.3993,93.3752,87.8933,81.6999,69.9147,-4.5625,-3.30615,-5.33485,-6.39518,-6.53041
42,49734676,20903141,CC1=CC=C(C=C1)NC(=O)CN2C(=O)CSC3=C2C=C(C=C3)S(=O)(=O)N4CCCCC4,Active,56,,,=,9.65,0.799,1.143,"0,0,0,0,0,0,0,0,0,0",93.9553,81.2504,70.9643,64.1534,30.4904,11.281,-0.387187,10.1979,6.64115,2.5401,"0,0,0,0,0,0,0,0,0,0",93.5884,77.939,62.6665,49.7438,36.7929,15.9938,9.11604,-3.35775,13.2402,-1.47824
43,49819594,24817951,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)OCC(=O)NC3=NC=C(C=C3)Cl,Active,51,,,=,6.06,0.582,1.801,"0,0,0,0,0,0,0,0,0,0",92.623,90.2758,80.9695,70.7149,54.3297,5.62493,1.52514,1.34187,10.1881,-3.13492,"0,0,0,0,0,0,0,0,0,0",90.2269,90.6174,82.6005,69.8097,54.0367,8.09819,-8.89994,-2.27117,-14.8011,2.72119
44,49816050,1934982,C1=CC=C(C=C1)N(CCO)C(=O)CCCN2C(=O)/C(=C/C3=CC=CC=C3Cl)/SC2=S,Active,56,,,=,9.91,1.46,0.994,"0,0,0,0,0,0,0,0,0,0",71.7428,78.9683,75.6852,53.4958,42.2039,4.71152,5.9222,4.51186,18.2358,10.0518,"0,0,0,0,0,0,0,0,0,0",76.273,81.4724,75.2241,58.2996,25.3776,11.0435,5.96853,8.81456,14.7881,14.4834
45,49825446,5735479,C1=CC=C(C=C1)CCNC(=O)/C(=C\C2=CC(=CC=C2)[N+](=O)[O-])/NC(=O)C3=CC=CO3,Active,44,,,=,4.22,0.296,3.121,"0,0,0,0,0,0,0,0,0,0",94.2955,92.1424,87.1229,83.7459,69.7403,6.08979,3.2091,1.5014,0.683295,18.1484,"0,0,0,0,0,0,0,0,0,0",94.2684,93.1409,87.7273,80.0254,70.8769,12.0707,4.44859,-0.221231,3.37303,1.48904
46,56319878,24981021,CC1=CC(=C(C=C1)C)S(=O)(=O)N2CCN(CC2)C(=O)CC3=CC=C(S3)S(=O)(=O)N4CCOCC4,Active,52,,,=,7.72,0.788,1.609,"0,0,0,0,0,0,0,0,0,0",92.2124,84.5692,78.1986,64.0468,45.5491,-3.6484,-1.89159,-3.16231,-5.74286,0.809729,"0,0,0,0,0,0,0,0,0,0",93.0744,85.5122,76.7563,63.5464,45.5521,-2.90582,8.34042,-4.01131,8.93725,-7.52548
47,56317578,7404282,CC1CCN(CC1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,52,,,=,5.23,0.577,1.715,"0,0,0,0,0,0,0,0,0,0",92.2155,91.8461,82.3836,78.0309,63.4135,18.8615,8.72144,5.971,3.21398,20.3805,"0,0,0,0,0,0,0,0,0,0",94.1106,89.8167,82.3423,72.7716,57.8558,-1.34425,8.05168,-7.19751,10.2555,-0.604927
48,56316310,24979316,CCCN(CC(=O)NC1=C(C(=C(C=C1)F)F)F)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,56,,,=,10.6,1,1.038,"0,0,0,0,0,0,0,0,0,0",88.1552,76.94,66.6027,49.9806,40.5498,9.36601,-4.44325,0.709135,-1.36319,1.80844,"0,0,0,0,0,0,0,0,0,0",88.7176,78.2555,61.6,48.1219,41.8828,14.7695,17.6469,-2.86111,7.36334,10.5494
49,56318702,24980458,CN(CC(=O)NC1=CC(=C(C=C1)Cl)C(F)(F)F)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,56,,,=,9.8,1.27,1.081,"0,0,0,0,0,0,0,0,0,0",87.8867,80.0564,69.6881,49.5729,39.1895,0.147914,21.2157,17.218,6.57108,-6.18319,"0,0,0,0,0,0,0,0,0,0",84.8461,83.1978,67.4472,58.9133,38.2078,6.04356,-3.03826,4.94119,16.3515,13.0981
50,56316669,16959052,CCOC(=O)C1CCN(CC1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,54,,,=,7.1,0.76,1.454,"0,0,0,0,0,0,0,0,0,0",90.1593,84.3173,79.1958,67.2682,45.1808,10.9557,-4.00798,11.4244,2.86492,-1.63347,"0,0,0,0,0,0,0,0,0,0",91.7218,88.0516,76.5019,62.862,53.7164,-1.3277,9.15872,-8.69206,5.12179,10.8184
51,56319855,24981005,CC1CCCC(N1C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3)C,Active,51,,,=,9.93,1.34,1.65,"0,0,0,0,0,0,0,0,0,0",89.5553,83.8504,70.4939,57.3693,38.5595,-10.4857,-7.38548,-13.0592,-9.18534,-14.7994,"0,0,0,0,0,0,0,0,0,0",89.9765,82.6178,72.2084,55.2746,35.2672,-7.25827,-13.3054,-8.97409,-13.5705,-7.98306
52,51087428,18573496,CC1=CC=C(C=C1)C2CC(=NN2C(=O)CSC3=NC(=O)N4C=C(C=CC4=N3)C)C5=CC=C(C=C5)OC,Active,55,,,=,12.9,1.66,0.996,"0,0,0,0,0,0,0,0,0,0",70.0696,70.3196,69.8576,48.8542,39.4815,4.87221,1.06862,2.52854,-3.9603,-1.52075,"0,0,0,0,0,0,0,0,0,0",78.8204,68.0769,67.0209,48.7862,37.6744,0.756612,3.42787,-3.37688,1.32395,-0.810019
53,57268430,4783446,C1CCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)OCC(=O)NC3=CC=CC=C3OC(F)F,Active,56,,,=,9.1,0.786,1.196,"0,0,0,0,0,0,0,0,0,0",89.3058,80.8584,67.7527,53.4939,42.7937,9.83221,3.82018,-6.15822,2.07228,3.16707,"0,0,0,0,0,0,0,0,0,0",90.5869,83.0325,69.7413,55.1227,47.4306,12.4418,-1.68334,0.8858,-5.27351,-0.0742
