PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
6,14729356,1191331,C1CN(CCN1CC2=CC=CC=C2)C3=C(C(=O)N(C3=O)CC4=CC=CC=C4)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.0943,8.29042,0.896224,6.65935,3.17972,>,66,,,"0,0,0,0,0",33.0481,23.8684,15.8234,6.9532,5.92178,>,66,,,"0,0,0,0,0,0,0,0,0,0",49.0399,26.1768,9.78442,11.6178,2.23528,2.34311,-8.54921,-2.50991,1.69605,-7.47076
7,49825163,6226497,C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CC(=O)NCCCN3C=CN=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.55061,9.16032,5.57197,7.74673,5.46323,>,66,,,"0,0,0,0,0",15.8234,16.8548,16.3391,12.8323,12.0071,,,,,,,,,,,,,,,
8,24790568,823759,CCC(=O)NC(=S)NC1=C(C=C(C=C1C)Br)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.94089,4.48459,6.76809,4.15837,1.6574,>,66,,,"0,0,0,0,0",2.31182,5.30292,7.88147,4.99349,10.9757,,,,,,,,,,,,,,,
9,17413100,1252842,CC(C)NS(=O)(=O)C1=CC=C(C=C1)NC(=S)NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.33313,14.271,7.63799,3.83216,7.9642,>,66,,,"0,0,0,0,0",12.4197,13.348,7.46891,10.9757,9.11917,,,,,,,,,,,,,,,
10,3713646,2998490,C1C(=O)N(C(=S)S1)C2=CN=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.43991,8.39916,6.33313,7.74673,5.02828,>,66,,,"0,0,0,0,0",-3.97984,5.09664,7.98461,14.5857,16.236,,,,,,,,,,,,,,,
11,26728105,2812568,C1=CC(=CC=C1NNC(=O)C2=C(C=CS2)Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.17972,12.0963,5.24575,3.72341,9.16032,>,66,,,"0,0,0,0,0",15.3077,10.9757,17.9894,6.64377,10.2537,,,,,,,,,,,,,,,
12,14746709,3493567,CNC1=C(C(=C(S1)C(=O)C2=CC=CC=C2F)N)C3=NC4=CC=CC=C4S3,Inactive,41,,,=,49.5,>,66,,,"0,0,0,0,0",-10.4125,-11.3912,-10.9562,-13.8922,-9.32516,>,66,,,"0,0,0,0,0",0.248978,7.88147,15.514,29.9538,8.19089,>,66,,,"0,0,0,0,0,0,0,0,0,0",1.26466,10.0001,4.28432,2.66665,0.617603,-4.01973,3.09802,-1.97068,1.37251,4.17647
13,49828259,1997362,CN1N=C(N=N1)NC(=S)NC(=O)C2=CC=CC3=C2C=CC=C3Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.81276,7.85547,11.9875,9.59528,7.63799,>,66,,,"0,0,0,0,0",13.0386,13.7606,21.2899,23.7653,18.4019,,,,,,,,,,,,,,,
14,24779798,9672020,CC1=CC=C(C=C1)NC(=S)N/N=C\2/CCCCC3=CC=CC=C32,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.7273,11.2264,11.9875,10.7914,9.16032,>,66,,,"0,0,0,0,0",18.4019,17.0611,17.5768,22.115,13.6574,,,,,,,,,,,,,,,
15,49677386,4689539,CC(=O)C1=C2C3=CC=CC=C3C(=O)C4=C(C=CC(=C42)N(C1=O)C)Br,Inactive,41,,,=,37.52,>,66,,,"0,0,0,0,0",35.2575,26.2322,22.7526,17.4244,18.4031,=,23.074,,1,"0,0,0,0,0",64.7126,56.3581,48.7256,25.3124,22.115,=,30.314,,1.289,"0,0,0,0,0,0,0,0,0,0",63.8147,49.2556,28.9808,18.5198,8.8138,14.3139,3.09802,5.14708,4.06863,6.22553
16,14727803,9549690,C1=CC(=CC=C1NCC2=NN=C(O2)SCC#N)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.69213,5.24575,8.39916,2.09234,5.6807,>,66,,,"0,0,0,0,0",2.82752,11.6977,11.3883,9.32546,8.08775,,,,,,,,,,,,,,,
17,14728344,9549750,CC(C)C1N(C2C(O1)C3=CC=CC4=C3C2=CC=C4)C5=CC=CC=C5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.33118,1.76613,1.87487,6.00692,8.39916,>,66,,,"0,0,0,0,0",5.09664,5.30292,2.41495,13.1417,12.8323,,,,,,,,,,,,,,,
18,17505595,21157446,CC1(C/C(=N\NC(=S)NC2=CC=C(C=C2)OC)/C3=C(O1)C=CC(=C3)OC)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.89818,7.52925,8.72537,7.74673,3.83216,>,66,,,"0,0,0,0,0",13.2448,17.0611,11.0789,12.2134,13.2448,,,,,,,,,,,,,,,
19,17510239,6175434,CC(C)(C)CC1=NN=C(S1)NC(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.83216,10.7914,14.271,5.24575,10.4652,>,66,,,"0,0,0,0,0",11.4914,6.54062,14.4825,16.4422,15.2045,,,,,,,,,,,,,,,
20,26670184,4449716,C1COCCN1C2=C(C=C(C=C2)NC(=O)C3=NC=CN=C3)S(=O)(=O)NC4=CC=C(C=C4)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.30185,-7.91156,1.76613,7.31178,12.0963,>,66,,,"0,0,0,0,0",4.58093,5.30292,12.1103,6.23121,13.2448,,,,,,,,,,,,,,,
21,57263789,16281897,CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3CCCCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.98556,0.570014,1.54865,-1.38728,1.33118,>,66,,,"0,0,0,0,0",0.661539,10.0474,6.12806,4.47778,15.514,,,,,,,,,,,,,,,
22,26724329,2341508,C1CCCC(CC1)NC(=O)CSC2=CC=CC=C2C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.18168,4.04963,10.0302,6.11566,11.9875,>,66,,,"0,0,0,0,0",7.46891,17.4737,18.7114,18.9176,16.3391,,,,,,,,,,,,,,,
23,17504048,3091267,C1=CC=C(C=C1)COC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=C(C=C2Cl)Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.83216,11.0089,3.94089,15.4671,8.83411,>,66,,,"0,0,0,0,0",15.6171,17.3705,15.3077,16.1328,18.0925,,,,,,,,,,,,,,,
24,4254726,2931812,C1C2CC3CC1CC(C2)(C3)NC(=O)C4=NC=CN=C4,Inactive,41,,,=,38.7,>,66,,,"0,0,0,0,0",36.4536,33.9526,20.904,18.2943,13.7273,=,16.646,,1,"0,0,0,0,0",76.7802,63.2686,46.4565,36.3486,28.2004,>,66,,,"0,0,0,0,0,0,0,0,0,0",79.0208,55.8342,38.9025,31.2455,16.5786,7.30398,9.67657,10.0001,6.00985,4.60786
25,843770,6398896,C=CCN1C(=O)/C(=C/2\N(C3=CC=CC=C3S2)CCCS(=O)(=O)O)/SC1=S.C1=CC=NC=C1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.96225,7.9642,12.9662,7.74673,5.46323,>,66,,,"0,0,0,0,0",7.26262,12.3166,12.9354,17.2674,17.7831,,,,,,,,,,,,,,,
26,47194335,766158,C1=CC=C(C=C1)C(=S)NS(=O)(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.3351,14.1623,12.8574,6.87682,11.5526,>,66,,,"0,0,0,0,0",18.4019,18.4019,19.7428,20.1553,21.8056,,,,,,,,,,,,,,,
27,26726817,2815587,COC1=NC=C(C=C1)NS(=O)(=O)C2=CC=C(S2)Cl,Active,55,,,=,14.9,=,19.165,,1,"0,0,0,0,0",114.427,92.4578,72.5514,49.8602,34.2858,=,6.276,,1,"0,0,0,0,0",87.4518,66.2478,38.5196,26.2322,19.8167,=,17.484,,1.438,"0,0,0,0,0,0,0,0,0,0",116.813,91.0669,62.1997,23.8587,9.81517,-6.6804,-3.78254,-18.2719,-4.67418,-7.23768
28,7970566,5080692,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)CC3=CC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.00352,2.42952,4.5595,4.3465,7.54147,>,66,,,"0,0,0,0,0",13.5112,12.2396,-0.0522,-0.687933,1.21942,,,,,,,,,,,,,,,
29,4263291,975625,C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)CSC3=NC4=CC=CC=C4O3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.5312,2.85351,6.98556,8.18168,5.89818,>,66,,,"0,0,0,0,0",-1.19502,4.37465,3.44637,5.19979,8.60346,,,,,,,,,,,,,,,
30,24708065,16129542,CCCCC1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCNCC2.Cl,Inactive,41,,,=,21,=,26.637,,1,"0,0,0,0,0",99.0588,77.6054,52.5419,39.3397,26.9627,=,11.299,,1,"0,0,0,0,0",72.4459,54.2867,36.4536,25.7973,13.8361,=,22.835,,1.189,"0,0,0,0,0,0,0,0,0,0",106.114,76.912,48.2677,20.4035,-0.104473,-8.01788,-13.5907,-12.922,-12.3647,-19.275
31,853369,656025,C1=CC(=CN=C1)C2=NN=C(N=N2)C3=CN=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.00496,-0.517367,6.87682,7.31178,6.11566,>,66,,,"0,0,0,0,0",3.44637,1.48668,13.0386,12.4197,20.5679,,,,,,,,,,,,,,,
32,56422124,5281073,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C.C(=C\C(=O)O)\C(=O)O,Inactive,41,,,=,32.23,>,66,,,"0,0,0,0,0",31.7779,21.339,18.6205,10.5739,6.87682,=,27.478,,1,"0,0,0,0,0",76.2645,49.3445,35.9361,24.281,15.514,=,14.336,,1.197,"0,0,0,0,0,0,0,0,0,0",149.551,126.041,92.5014,67.3736,38.1476,16.4708,10.6472,7.84321,13.6668,6.54907
33,89854093,3246306,CC1=C(C(=S)N=C(N1)N)CCCNC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.2477,14.271,8.29042,12.7487,8.72537,>,66,,,"0,0,0,0,0",13.348,16.5454,11.2851,18.8145,17.2674,,,,,,,,,,,,,,,
34,87335285,68433,CN1C2=CC=CC=C2C(=O)C3=C1C4=C(C(=C3OC)OC)OCO4,Inactive,41,,,=,41.75,>,66,,,"0,0,0,0,0",33.0827,26.2322,15.1409,9.59528,11.77,=,41.828,,1,"0,0,0,0,0",55.3267,46.5596,23.9716,23.3527,17.7831,=,25.238,,1.885,"0,0,0,0,0,0,0,0,0,0",71.0403,50.0105,25.4219,13.7747,-11.8924,6.22553,6.33337,2.34311,-4.55895,-2.29422
35,14739103,3251511,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Inactive,41,,,=,49.6,>,66,,,"0,0,0,0,0",-0.517367,6.98556,9.70401,3.28847,6.87682,>,66,,,"0,0,0,0,0",29.8507,20.8773,17.9894,15.3077,14.6888,=,49.588,,1.077,"0,0,0,0,0,0,0,0,0,0",90.8838,61.9813,32.324,17.01,10.5393,-3.37267,-3.04913,-1.97068,2.66665,-8.9806
36,24779810,135541140,C1=CC(=CN=C1)NC(=S)N/N=C/C2=CC=C(C=C2)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.42051,4.81079,11.5526,5.13701,5.78944,>,66,,,"0,0,0,0,0",13.0386,10.7694,13.0386,9.11917,17.2674,,,,,,,,,,,,,,,
37,17515136,3561766,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=C(C(=CC=C3)[N+](=O)[O-])C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.20109,0.352533,10.4652,-1.1698,10.3565,>,66,,,"0,0,0,0,0",17.1642,14.3794,6.64377,4.2715,4.58093,,,,,,,,,,,,,,,
38,22406711,2422193,CCCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=S)NC(=O)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.0943,6.65935,9.26907,1.1137,4.70206,>,66,,,"0,0,0,0,0",8.60346,15.2045,8.91288,13.8637,3.0338,,,,,,,,,,,,,,,
39,7976648,684261,C1COCCN1C(=S)C2=CC=C(C=C2)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-4.86689,0.787487,4.70206,4.59332,6.00692,>,66,,,"0,0,0,0,0",3.96207,0.661539,6.43749,10.6663,10.46,,,,,,,,,,,,,,,
40,24787571,974145,COC1=CC=CC(=C1)C2=NC(=S)C3=C(O2)CCCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.02828,5.02828,4.04963,-1.06106,-3.01835,>,66,,,"0,0,0,0,0",5.40607,13.348,6.85005,-42.0392,-1.09187,,,,,,,,,,,,,,,
41,4262898,2982265,CCOC1=C(C=CC(=C1)C2C3=C(CCCC3=O)NC4=C2C(=O)CCC4)OCCO,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.27854,2.63603,7.0943,-0.191158,2.09234,>,66,,,"0,0,0,0,0",3.96207,2.10553,3.85894,4.78721,8.7066,,,,,,,,,,,,,,,
42,858882,660187,C1C(C(=O)N(C1=O)C2=CC(=C(C=C2)Cl)Cl)SCC(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.57197,5.89818,7.74673,7.52925,5.46323,>,66,,,"0,0,0,0,0",1.89924,7.77834,4.99349,11.2851,8.91288,,,,,,,,,,,,,,,
43,26668259,650481,CCC(C1=NN=NN1CC2=CC=C(C=C2)F)N(CCCO)CC3=CC4=CC5=C(C=C4NC3=O)OCO5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.7914,5.89818,5.78944,-0.626112,1.98361,>,66,,,"0,0,0,0,0",13.8637,10.3569,10.9757,0.970968,2.00239,,,,,,,,,,,,,,,
44,17433412,1339139,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3N2)NC(=S)NC(=O)C4=C(C=CC(=C4)Br)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-3.67077,6.22439,3.28847,0.570014,-0.408631,>,66,,,"0,0,0,0,0",0.455259,4.68408,11.4914,8.50032,2.20867,,,,,,,,,,,,,,,
45,22415933,1235011,CCOC(=O)CC1=CSC(=N1)NC(=S)NC(=O)C2=CC=CC=C2Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.76809,8.50789,6.87682,6.98556,6.33313,>,66,,,"0,0,0,0,0",12.4197,5.81863,12.0071,8.7066,6.02491,,,,,,,,,,,,,,,
46,846465,648853,CC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3C(=O)S2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.22439,3.94089,5.24575,3.3972,1.1137,>,66,,,"0,0,0,0,0",18.7114,10.46,6.23121,7.46891,10.0474,,,,,,,,,,,,,,,
47,4245793,3240220,CCOC(=O)C1=C(N(C(=S)S1)C2=CC(=CC=C2)OC)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-3.56204,-2.80088,2.30982,2.85351,1.76613,>,66,,,"0,0,0,0,0",0.14583,3.54951,0.970968,4.16837,10.7694,,,,,,,,,,,,,,,
48,51085313,4658609,C1=CC=C(C=C1)OCC(=O)NC2=NC(=CS2)C3=CC=NC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-13.5659,-2.36592,-14.6533,-29.9854,-21.6126,>,66,,,"0,0,0,0,0",-17.4914,-6.45524,-73.8068,-44.2052,-6.76467,,,,,,,,,,,,,,,
49,26732110,16746294,COC1=CC(=CC(=C1OC)OC)C(CC(=O)N2CCCC2)C3=C(C=C(C4=C3OC(=O)C=C4)OC)OC,Inactive,41,,,=,60.3,>,66,,,"0,0,0,0,0",34.605,19.9254,12.0963,7.85547,5.24575,>,66,,,"0,0,0,0,0",42.7434,29.1287,13.6574,6.02491,12.5229,>,66,,,"0,0,0,0,0,0,0,0,0,0",68.2363,46.883,28.4416,24.667,17.8728,17.8728,14.0982,12.0491,12.6962,17.6571
50,14739749,975466,C1CCCN(CC1)C(=S)C2=CC=C(C=C2)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.08437,-0.0824,5.13701,5.13701,7.0943,>,66,,,"0,0,0,0,0",1.48668,2.41495,10.3569,2.31182,7.36576,,,,,,,,,,,,,,,
51,859490,135420605,CCCCC1=C(N=C(N(C1=O)C2=CC=CC=C2)SCCN(C)C)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.05158,8.72537,8.94285,6.65935,6.76809,>,66,,,"0,0,0,0,0",4.58093,4.06522,8.50032,0.764687,8.08775,,,,,,,,,,,,,,,
52,87337152,2997744,C1CCN2C(=CC1)SC(NC2=O)(C3=CC=CC=C3)C(F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.44187,2.09234,0.678751,2.20109,0.0263,>,66,,,"0,0,0,0,0",7.57204,-1.09187,2.10553,1.17725,-1.81386,,,,,,,,,,,,,,,
53,49819117,2213755,COC(=O)C1=CC=CC=C1NC(=S)NC(=O)C2=CC3=C(C=C2)OCO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-4.75816,-5.08437,-11.4999,-7.47661,-1.1698,>,66,,,"0,0,0,0,0",-7.89924,-7.89924,-8.41494,-15.5317,-5.42382,,,,,,,,,,,,,,,
54,49665848,5155971,C1=CC=C(C=C1)C(C2=C(C=C(C=N2)C(F)(F)F)Cl)C(=S)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.98361,8.29042,4.2671,2.85351,1.87487,>,66,,,"0,0,0,0,0",5.19979,5.19979,3.96207,7.15948,-0.885588,,,,,,,,,,,,,,,
55,51086869,7267154,CS(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=NN=C(O2)C3=COCCO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.1698,3.61468,7.52925,7.42051,5.35449,>,66,,,"0,0,0,0,0",0.14583,1.17725,4.68408,6.23121,7.57204,,,,,,,,,,,,,,,
56,22416673,3470803,CC(=O)NC1=CC=C(C=C1)NC(=S)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.55061,10.139,9.05158,9.16032,6.55061,>,66,,,"0,0,0,0,0",12.8323,15.6171,15.1014,15.4108,16.6485,,,,,,,,,,,,,,,
57,56317891,8580908,CN(CC(=O)NC1=CC(=CC=C1)OC)C(=O)CSC(=S)N2CCCC2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.61663,6.44187,9.16032,8.39916,6.98556,>,66,,,"0,0,0,0,0",10.3569,17.9894,11.4914,10.0474,11.2851,,,,,,,,,,,,,,,
58,4263292,877545,C1=CC=C(C=C1)N2C=NC(=N2)SCC(=O)C3=CC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.69213,3.17972,8.83411,8.29042,5.02828,>,66,,,"0,0,0,0,0",10.8726,8.19089,11.904,11.182,17.0611,,,,,,,,,,,,,,,
