,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
11,C=CCN1C=C2C(=O)C(C)(OC(=O)CCC(=O)OC)C(=O)C(Br)=C2C=C1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,89.77358706519658,0.0,0.0,-0.2342391269851039,0.0,0.0,-0.12030876122422815,0.0,0.0,28.0,1.0,-0.0,1.0
12,C=CCN=c1scc(-c2ccco2)n1/N=C/c1ccc(O)c(O)c1O,-0.0,1.0,0.0,1.0,52.62337106998051,0.0,1.0,-0.06294326331219548,0.0,1.0,-0.03828311702447114,0.0,0.0,28.0,1.0,-0.0,1.0
13,C=CCNC(=S)Nc1cc(Cl)ccc1OC,1.0,0.0,1.0,0.0,98.63030293272844,1.0,0.0,-0.4381532874958877,0.0,0.0,-0.22047588090541298,0.0,0.0,40.0,0.0,1.0,0.0
14,C=CCOc1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nnc(C)s2)cc1,-0.0,1.0,0.0,0.0,70.76593841976418,0.0,0.0,-0.14746324721437054,0.0,0.0,-0.0826312975684312,0.0,0.0,30.0,0.0,1.0,0.0
15,C=CCOc1ccc(C2OC34CCCCC3C(C#N)(C#N)C2(C#N)C(=N)O4)cc1,-0.0,1.0,0.0,0.0,76.46696233769667,0.0,0.0,-0.17877202452252183,0.0,0.0,-0.08830974437695083,0.0,0.0,45.0,1.0,-0.0,1.0
16,C=CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2c2nccs2)c1,-0.0,1.0,0.0,0.0,92.86359320906925,0.0,0.0,-0.38457650808336574,0.0,0.0,-0.21016526619786868,0.0,0.0,49.0,0.0,1.0,0.0
17,C=CCOn1c(=O)c(-c2cc3ccccc3o2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,83.45904426506097,0.0,0.0,-0.10940697929117048,0.0,0.0,-0.05559460846618928,1.0,0.0,27.0,1.0,-0.0,1.0
18,C=CCSc1nnc(N2C(=O)C(O)=C(C(=O)c3ccco3)C2c2ccccc2F)s1,-0.0,1.0,0.0,0.0,82.68574055437826,0.0,0.0,-0.2693909987343857,0.0,0.0,-0.14020758773093753,0.0,0.0,35.0,0.0,1.0,0.0
19,C=CCn1c(=O)/c(=C/c2ccc(C)o2)s/c1=C(/C#N)C(=O)c1ccccc1,1.0,0.0,0.0,0.0,77.20341718487929,0.0,0.0,-0.10524127884326004,0.0,1.0,-0.03694013123643364,1.0,0.0,27.0,0.0,1.0,0.0
20,C=CCn1c(=O)/c(=C\c2ccsc2)s/c1=C(/C#N)C(=O)NCCN1CCOCC1,1.0,0.0,0.0,0.0,85.18989572966377,0.0,0.0,-0.15447867745332655,0.0,0.0,-0.0628508453878535,0.0,0.0,46.0,0.0,1.0,0.0
21,C=CCn1c(Cc2nc3ccccc3[nH]2)n[nH]c1=S,-0.0,1.0,0.0,0.0,92.40031770116879,0.0,0.0,-0.43207505719671796,0.0,0.0,-0.21886325958800854,0.0,0.0,51.0,0.0,1.0,0.0
22,C=CCn1c(O)c(/C=C/C=Nc2ccccc2)c(=O)[nH]c1=O,1.0,0.0,0.0,0.0,83.60592807888374,0.0,0.0,-0.3579610666179946,0.0,0.0,-0.17487988858253709,1.0,0.0,26.0,0.0,1.0,0.0
23,C=CCn1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,1.0,0.0,0.0,0.0,77.512944904291,0.0,0.0,-0.12435290395285371,0.0,1.0,-0.04225715746199811,0.0,0.0,37.0,1.0,-0.0,1.0
24,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,-0.0,1.0,0.0,0.0,72.2841875780393,0.0,0.0,-0.4020215842394334,0.0,0.0,-0.21235494476211644,0.0,0.0,42.0,0.0,1.0,0.0
25,CC(=NC1CCCC1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1.0,0.0,0.0,0.0,97.23789401239954,0.0,0.0,-0.4316823347740514,0.0,0.0,-0.21512882058477484,0.0,0.0,43.0,0.0,1.0,0.0
26,CC(=Nc1ccc(Br)cc1)c1sc2ccccc2c1O,1.0,0.0,0.0,0.0,77.6927626363897,0.0,0.0,-0.33674382261379143,0.0,0.0,-0.17416729241791562,0.0,0.0,30.0,1.0,-0.0,1.0
27,CC(=O)/C(N=Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C)=C(\C)O,-0.0,1.0,0.0,1.0,65.96853078995807,0.0,0.0,-0.29524154139810893,0.0,0.0,-0.16482113080733413,0.0,0.0,36.0,1.0,-0.0,1.0
28,CC(=O)C1=C(c2cccc([N+](=O)[O-])c2)N(C(C)=O)n2c(C)nnc2S1,1.0,0.0,0.0,0.0,91.0997100796958,0.0,0.0,-0.34030486005082444,0.0,0.0,-0.174881426124502,0.0,0.0,47.0,0.0,1.0,0.0
29,CC(=O)C1=C(c2ccccc2)N(C(C)=O)n2c(C)nnc2S1,-0.0,1.0,0.0,0.0,95.28537644547893,0.0,0.0,-0.3427765292098483,0.0,0.0,-0.17572372568298839,0.0,0.0,45.0,0.0,1.0,0.0
30,CC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,84.5119661939693,0.0,0.0,-0.38706445505823694,0.0,0.0,-0.20355725979162612,0.0,0.0,29.0,1.0,-0.0,1.0
31,CC(=O)N(C)c1ccc(N=NC2C(=O)N(C(N)=S)N=C2C)cc1,-0.0,1.0,0.0,0.0,83.26849822104373,0.0,0.0,-0.108867784717228,0.0,0.0,-0.05694998096061143,1.0,0.0,26.0,1.0,-0.0,1.0
32,CC(=O)N(C)c1ccc(N=Nc2c(C)[nH]n(C(N)=S)c2=O)cc1,-0.0,1.0,0.0,0.0,89.02227379144908,0.0,0.0,-0.237010091099575,0.0,0.0,-0.11660411939263197,0.0,0.0,32.0,1.0,-0.0,1.0
33,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1,-0.0,1.0,0.0,0.0,95.25894999475882,1.0,0.0,-0.4360897328006634,0.0,0.0,-0.21845881265073105,0.0,0.0,48.0,1.0,-0.0,1.0
34,CC(=O)N1CCc2c(sc(NC(=O)C3CCCCC3)c2C(N)=O)C1,-0.0,1.0,1.0,0.0,98.63312878077735,0.0,0.0,-0.4080138841839104,0.0,0.0,-0.20764306366148344,1.0,0.0,27.0,0.0,1.0,0.0
35,CC(=O)N1CCc2c(sc(NC(=O)C3CCCN3S(=O)(=O)c3cccs3)c2C(N)=O)C1,-0.0,1.0,0.0,0.0,94.74110309825117,0.0,0.0,-0.27002373275255215,0.0,0.0,-0.13650622456041456,0.0,0.0,35.0,0.0,1.0,0.0
36,CC(=O)N=c1c(C#N)cc2c(=O)n3cccc(C)c3nc2n1CCCOC(C)C,-0.0,1.0,0.0,0.0,94.31551561141096,0.0,0.0,-0.3267487707563955,0.0,0.0,-0.17618265114545797,1.0,0.0,26.0,0.0,1.0,0.0
37,CC(=O)NCCNc1ccc([N+](=O)[O-])cc1C#N,1.0,0.0,0.0,0.0,90.99527330509844,1.0,0.0,-0.44206468486413836,1.0,0.0,-0.23903593769228215,0.0,0.0,41.0,0.0,1.0,0.0
38,CC(=O)Nc1ccc(/C=C/C(=O)c2ccc3c(c2)OCCO3)cc1,1.0,0.0,0.0,0.0,97.67942302287219,1.0,0.0,-0.4432795569365971,0.0,0.0,-0.21334180310421474,0.0,0.0,53.0,0.0,1.0,0.0
39,CC(=O)Nc1ccc(N=Cc2c(C)c(C#N)c(=O)n(CCc3ccccc3)c2O)cc1,1.0,0.0,0.0,0.0,98.44721177545361,0.0,0.0,-0.2866804361430831,0.0,0.0,-0.13035907510373942,0.0,0.0,40.0,0.0,1.0,0.0
40,CC(=O)Nc1ccc(N=Cc2nc(-c3ccc(C)cc3)oc2O)cc1,1.0,0.0,0.0,0.0,85.57770071624738,0.0,0.0,-0.35907765028458793,0.0,0.0,-0.1761401146262587,0.0,0.0,31.0,0.0,1.0,0.0
41,CC(=O)Nc1ccc(NC(=O)C(C)OC(=O)/C(C#N)=C/c2ccc(N(C)C)cc2)cc1,1.0,0.0,0.0,0.0,96.64802344768626,0.0,0.0,-0.37132816925789,0.0,0.0,-0.18350704831823775,1.0,0.0,26.0,1.0,-0.0,1.0
42,CC(=O)Nc1ccc(S(=O)(=O)NNC(=O)C(=O)NNc2ccccn2)cc1,1.0,0.0,0.0,1.0,51.76253928412147,0.0,0.0,-0.2123395843392811,0.0,0.0,-0.11133587677368847,0.0,0.0,45.0,0.0,1.0,0.0
43,CC(=O)Nc1cccc(Oc2nc(-c3ccccn3)nc3ccccc23)c1,-0.0,1.0,1.0,0.0,99.20241639530839,1.0,0.0,-0.44229761648169613,1.0,0.0,-0.23453906433002972,0.0,0.0,35.0,0.0,1.0,0.0
44,CC(=O)Oc1oc(-c2ccccc2)nc1C=Nc1ccc(N(C)C)cc1,1.0,0.0,0.0,0.0,74.80234430007873,0.0,0.0,-0.21137628275795317,0.0,0.0,-0.10222633018485437,0.0,0.0,33.0,1.0,-0.0,1.0
45,CC(=O)c1c(O)cc(O)cc1CC(=O)O,1.0,0.0,0.0,0.0,77.77668001808141,1.0,0.0,-0.4373291280841283,1.0,0.0,-0.2348991224580305,0.0,0.0,29.0,0.0,1.0,0.0
46,CC(=O)c1cc(NC(=O)c2ccc(Cl)cc2)c(=O)oc1/C=C/N(C)C,-0.0,1.0,1.0,0.0,98.6619508091958,0.0,0.0,-0.429414520060566,1.0,0.0,-0.2307747145695045,1.0,0.0,26.0,0.0,1.0,0.0
47,CC(=O)c1cc(NC(=O)c2cccc(C(F)(F)F)c2)c(=O)oc1/C=C/N(C)C,1.0,0.0,0.0,0.0,96.572300409502,0.0,0.0,-0.4340840182522861,1.0,0.0,-0.231751283918034,0.0,0.0,36.0,0.0,1.0,0.0
48,CC(=O)c1ccc(-c2ccc(/C=C(/Sc3n[nH]c(C)n3)C(=O)O)o2)cc1,-0.0,1.0,0.0,0.0,88.94597957162348,0.0,0.0,-0.17916067291676413,0.0,0.0,-0.11786314193170501,0.0,0.0,35.0,0.0,1.0,0.0
49,CC(=O)c1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCN(Cc2ccccc2)C3)cc1,1.0,0.0,0.0,0.0,90.76335212622791,0.0,0.0,-0.1638397658086595,0.0,0.0,-0.07938222491154057,0.0,0.0,37.0,0.0,1.0,0.0
50,CC(=O)c1sc2nc(-c3cccs3)cc(C(F)(F)F)c2c1N,1.0,0.0,0.0,0.0,97.85141307303478,0.0,0.0,-0.4179544389771223,0.0,0.0,-0.22643364180255232,0.0,0.0,30.0,0.0,1.0,0.0
51,CC(=O)n1c(C=Nc2ccccc2)c(O)c2ccccc21,1.0,0.0,0.0,0.0,86.157596897891,0.0,0.0,-0.40600505701989076,0.0,0.0,-0.19598868346164058,0.0,0.0,53.0,0.0,1.0,0.0
52,CC(C)(C)OC(=O)N1CC=C2C(C#N)=C(N)C(C#N)(C#N)[C@H](c3cccnc3)[C@H]2C1,-0.0,1.0,0.0,0.0,73.89061119721147,0.0,1.0,-0.10248738528829762,0.0,0.0,-0.0548014003853562,0.0,0.0,28.0,1.0,-0.0,1.0
53,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)N1CCC(C(=O)NCC(=O)Nc2ccc(F)cc2)CC1,1.0,0.0,1.0,0.0,99.6006762003046,1.0,0.0,-0.4369783206637677,1.0,0.0,-0.23938606972562548,0.0,1.0,57.0,0.0,1.0,0.0
54,CC(C)(C)OC(=O)NCCCCC1=CC2=CC(=O)C(C)(OC(=O)c3cnc4ccccc4n3)C(=O)C2=CO1,-0.0,1.0,0.0,0.0,77.65000034901502,0.0,1.0,-0.027144557808776466,0.0,1.0,-0.012927765485356166,0.0,0.0,28.0,0.0,1.0,0.0
55,CC(C)(C)c1ccc(/C=C2\Oc3cc(O)ccc3C2=O)cc1,-0.0,1.0,0.0,0.0,88.07728051783539,0.0,0.0,-0.2212122883157772,0.0,0.0,-0.10882042983242404,1.0,0.0,27.0,0.0,1.0,0.0
56,CC(C)(C)c1nn(-c2ccccc2)c2[nH]c(=O)c(CNCc3ccco3)cc12,1.0,0.0,1.0,0.0,99.44452304912353,1.0,0.0,-0.43705999322568356,0.0,0.0,-0.2204576074333769,1.0,0.0,27.0,0.0,1.0,0.0
57,CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O,-0.0,1.0,0.0,0.0,96.12180720397338,0.0,0.0,-0.26402894769366564,0.0,0.0,-0.15690782463988978,0.0,0.0,28.0,0.0,1.0,0.0
58,CC(C)C(C(=O)O)N1C(=O)/C(=C/C=C/c2ccco2)SC1=S,1.0,0.0,0.0,0.0,82.36448335833792,0.0,1.0,-0.09391398501670276,0.0,0.0,-0.06483070366989248,0.0,0.0,35.0,1.0,-0.0,1.0
59,CC(C)Cc1nn2c(N)c(/C=C3\C=Nc4ccccc43)c(=O)nc2s1,-0.0,1.0,0.0,0.0,88.5892229794199,0.0,0.0,-0.34946737240693165,0.0,0.0,-0.16417850826995647,0.0,0.0,46.0,0.0,1.0,0.0
60,CC(C)Cc1nnc(NC(=O)CCC(=O)N2CC(C)CC(C)C2)s1,1.0,0.0,1.0,0.0,99.26598512529242,0.0,0.0,-0.4320181083881005,0.0,0.0,-0.21129430186002182,1.0,0.0,27.0,0.0,1.0,0.0
61,CC(C)N1CCc2c(sc(NC(=O)c3ccc4ccccc4c3)c2C(N)=O)C1,1.0,0.0,0.0,0.0,83.8212739128278,0.0,0.0,-0.19311419795660248,0.0,0.0,-0.1044561566365138,0.0,0.0,37.0,0.0,1.0,0.0
62,CC(C)OC(=O)CC(=O)c1sc2nc3c(cc2c1N)CN(C)CC3,1.0,0.0,0.0,0.0,89.28489813708994,0.0,0.0,-0.42194208555634655,0.0,0.0,-0.22096279982252204,0.0,0.0,31.0,0.0,1.0,0.0
63,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,91.97871329008404,0.0,0.0,-0.3919045038073358,0.0,0.0,-0.2145176691835984,0.0,0.0,36.0,1.0,-0.0,1.0
64,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1cc2c(cc1[N+](=O)[O-])OCO2,-0.0,1.0,0.0,0.0,83.73625495348881,0.0,0.0,-0.4301984309948508,1.0,0.0,-0.24668460318058996,0.0,1.0,56.0,0.0,1.0,0.0
65,CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,-0.0,1.0,1.0,0.0,99.55960573115624,0.0,0.0,-0.43201839556138283,0.0,0.0,-0.22871361878316931,0.0,0.0,28.0,0.0,1.0,0.0
66,CC1(C)Cc2c(cnn2-c2cccc(F)c2)C(NC(=O)CSc2ccccn2)C1,1.0,0.0,1.0,0.0,99.74964581858303,0.0,0.0,-0.4263948809828687,1.0,0.0,-0.23740232113705748,0.0,0.0,44.0,0.0,1.0,0.0
67,CC1(CCl)N([O-])C2=C(CCCC2)[N+]1=O,-0.0,1.0,0.0,0.0,93.83893835740449,0.0,0.0,-0.42335757464811963,0.0,0.0,-0.2207117906978884,0.0,0.0,36.0,0.0,1.0,0.0
68,CC1(OC(=O)c2ccc(Cl)nc2)C(=O)C=C2C=C(C3CC3)OC=C2C1=O,-0.0,1.0,0.0,1.0,58.64533581698315,0.0,1.0,-0.078391320760355,0.0,1.0,-0.041863696395575724,0.0,0.0,50.0,0.0,1.0,0.0
69,CC1(OC(=O)c2ccco2)C(=O)C=C2C=C(C3CC3)OC=C2C1=O,-0.0,1.0,0.0,1.0,66.96970613431786,0.0,0.0,-0.14365553596520392,0.0,0.0,-0.07526317384557826,0.0,0.0,34.0,0.0,1.0,0.0
70,CC1(OC(=O)c2cccs2)C(=O)C=C2C=C3CCCN3C=C2C1=O,-0.0,1.0,0.0,0.0,89.31833065001526,0.0,0.0,-0.2580903327629826,0.0,0.0,-0.13715716854521917,1.0,0.0,27.0,0.0,1.0,0.0
71,CC1(OC(=O)c2cnc3ccccc3n2)C(=O)C=C2C=C(C3CC3)OC=C2C1=O,1.0,0.0,0.0,0.0,70.93466902200842,0.0,1.0,-0.0426646491472081,0.0,1.0,-0.020926921174042122,0.0,0.0,53.0,0.0,1.0,0.0
72,CC1=C(C#N)C(=O)N(C)C(=O)C1=Nc1ccc(N(C)C)cc1,-0.0,1.0,0.0,0.0,82.08658379084675,0.0,0.0,-0.20222050478674983,0.0,0.0,-0.10255894659432199,0.0,0.0,34.0,1.0,-0.0,1.0
73,CC1=C(C#N)C(=O)N(CCO)C(=O)C1=Nc1ccc(N(C)C)cc1,1.0,0.0,0.0,1.0,65.79649405401318,0.0,0.0,-0.20484133181431172,0.0,0.0,-0.10447084560416953,0.0,0.0,34.0,1.0,-0.0,1.0
74,CC1=C(C#N)C(=O)NC(=O)/C1=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1,1.0,0.0,0.0,0.0,83.29296374577154,0.0,1.0,-0.0640500668017306,0.0,1.0,-0.027071016258009128,0.0,0.0,33.0,1.0,-0.0,1.0
75,CC1=C(C#N)C(=O)OC(C)(C)C1,-0.0,1.0,0.0,0.0,97.64576154053657,0.0,0.0,-0.41610449277808836,0.0,0.0,-0.21372903864671902,0.0,0.0,47.0,0.0,1.0,0.0
76,CC1=C(C(=O)OCc2ccccc2)C(c2ccccc2[N+](=O)[O-])NC(=O)N1C,-0.0,1.0,1.0,0.0,99.82598975766949,0.0,0.0,-0.41630818596342645,0.0,0.0,-0.20874740492931493,0.0,0.0,39.0,0.0,1.0,0.0
77,CC1=CC(=C(C#N)c2nc3ccccc3s2)C=C(C)N1CC1CCCO1,1.0,0.0,0.0,0.0,79.88708210649037,0.0,0.0,-0.42369014400899463,0.0,0.0,-0.21160549703983428,0.0,0.0,36.0,0.0,1.0,0.0
78,CC1=CC(=C2N=C(c3ccccc3)OC2=O)C=C(C)O1,1.0,0.0,0.0,0.0,88.14663279631517,0.0,0.0,-0.38342276721139573,0.0,0.0,-0.1983228886195852,0.0,0.0,35.0,0.0,1.0,0.0
79,CC1=CC(C#N)(C#N)C(C#N)(C#N)C(c2ccccc2)N1,-0.0,1.0,0.0,0.0,80.06886124691547,0.0,0.0,-0.3599830859643974,0.0,0.0,-0.18404237553196726,0.0,0.0,53.0,1.0,-0.0,1.0
80,CC1=C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,1.0,0.0,0.0,0.0,86.6010859898379,0.0,0.0,-0.43020936019767925,1.0,0.0,-0.2497914799917724,0.0,1.0,58.0,0.0,1.0,0.0
81,CC1=NN(C(N)=S)C(=O)C1N=Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,-0.0,1.0,0.0,0.0,72.6717467098012,0.0,0.0,-0.4127032396648225,0.0,0.0,-0.22880554002944473,0.0,0.0,31.0,1.0,-0.0,1.0
82,CC1=NN(C(N)=S)C(=O)C1N=Nc1cccc(C(=O)O)c1,-0.0,1.0,0.0,0.0,80.40382355796419,0.0,0.0,-0.3182787017258172,0.0,0.0,-0.1716337775298382,0.0,0.0,30.0,1.0,-0.0,1.0
83,CC1=NN(c2ccc(C(=O)O)c(N)c2)C(=O)C1,-0.0,1.0,0.0,0.0,82.68553504850459,0.0,0.0,-0.4298470996499152,1.0,0.0,-0.2355536021888953,0.0,0.0,39.0,0.0,1.0,0.0
84,CC1=NN(c2cccc(C(=O)O)c2)C(=O)/C1=C\C=C\c1ccco1,1.0,0.0,0.0,0.0,73.52692070380955,0.0,0.0,-0.39063363808934254,0.0,0.0,-0.20831176826112502,1.0,0.0,27.0,1.0,-0.0,1.0
85,CC1=Nc2ccc(C)cc2/C1=C/c1c(N)n2nc(CC(=O)N3CCOCC3)sc2nc1=O,1.0,0.0,0.0,0.0,75.82154985950518,0.0,0.0,-0.35698604556727725,0.0,0.0,-0.15337436432037838,0.0,0.0,52.0,0.0,1.0,0.0
86,CC1=Nc2ccccc2/C1=C\c1nc(-c2ccc(F)cc2)oc1O,-0.0,1.0,0.0,0.0,93.88266672921976,0.0,0.0,-0.31425494949373145,0.0,0.0,-0.14589375156146225,0.0,0.0,36.0,0.0,1.0,0.0
87,CC1C(=O)NN=C1C(=O)N/N=C/c1ccco1,1.0,0.0,0.0,0.0,94.94062390391362,0.0,0.0,-0.1635981057041442,0.0,0.0,-0.08565492340914586,1.0,0.0,26.0,0.0,1.0,0.0
88,CC1C2(C)OC(=N)C(C#N)(C(C)O2)C1(C#N)C#N,-0.0,1.0,0.0,0.0,88.1305775917208,0.0,0.0,-0.40581150290913165,0.0,0.0,-0.21971785276508723,0.0,0.0,30.0,1.0,-0.0,1.0
89,CC1C2C(C)N(C)C(=O)N(C)C2N(C)C(=O)N1C,-0.0,1.0,0.0,0.0,94.7753992152963,1.0,0.0,-0.44309049404511625,1.0,0.0,-0.23288583588716727,0.0,0.0,40.0,0.0,1.0,0.0
90,CC1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3cccs3)C2C1,-0.0,1.0,0.0,0.0,74.01715916171933,0.0,1.0,-0.048046391067269725,0.0,1.0,-0.025438559383870823,0.0,0.0,31.0,1.0,-0.0,1.0
91,CC1CCCN(c2nc3ccccc3nc2C(C#N)S(=O)(=O)c2cccs2)C1,1.0,0.0,0.0,0.0,96.94898638255209,0.0,1.0,-0.0721011377073222,0.0,1.0,-0.026391923849991138,0.0,0.0,50.0,0.0,1.0,0.0
92,CC1CCN(c2nc3ccccc3nc2C(C#N)C(=O)NC2CCCCC2)CC1,1.0,0.0,1.0,0.0,99.4741326785167,0.0,0.0,-0.2834048256209217,0.0,0.0,-0.13588817411550005,0.0,0.0,29.0,0.0,1.0,0.0
93,CC1CCc2nn(CC(=O)NCCN3CCCCC3C)cc2C1,1.0,0.0,0.0,0.0,97.23454068955732,0.0,0.0,-0.3983372690258965,0.0,0.0,-0.2067485129998715,0.0,0.0,35.0,0.0,1.0,0.0
94,CC1CN(C2CC(C)(C)NC(C)(C)C2)CCC1=O,1.0,0.0,0.0,0.0,97.81042196621269,0.0,0.0,-0.26524761023345444,0.0,0.0,-0.1365770744345359,0.0,0.0,48.0,0.0,1.0,0.0
95,CC1OC(Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,-0.0,1.0,0.0,0.0,70.50817302131891,0.0,1.0,-0.07599381279783178,0.0,0.0,-0.054010862337249464,0.0,0.0,48.0,1.0,-0.0,1.0
96,CCC(=O)Nc1cc(C)c(NC(=O)CCc2ccccc2)cn1,1.0,0.0,1.0,0.0,99.85819217912761,1.0,0.0,-0.43828715587207123,1.0,0.0,-0.23383043178220073,1.0,0.0,26.0,0.0,1.0,0.0
97,CCC(=O)Nc1ccc2nc3c(=O)[nH]c(=S)[nH]c3nc2c1,-0.0,1.0,0.0,0.0,92.72821920530734,0.0,0.0,-0.34956891073976865,0.0,0.0,-0.17651861197596053,0.0,0.0,46.0,0.0,1.0,0.0
98,CCC(=O)OC1(C)C(=O)C=C2C=C(CCCC(=O)OC)OC=C2C1=O,-0.0,1.0,0.0,1.0,63.572632882786884,0.0,1.0,-0.044727696319440804,0.0,1.0,-0.023001860950867863,0.0,0.0,31.0,0.0,1.0,0.0
99,CCC(C)(C)NC(=O)C(c1cccn1C)N(C(=O)Cn1nnc2ccccc21)c1ccc(OC)cc1,1.0,0.0,1.0,0.0,99.7031643204439,0.0,0.0,-0.32118604801108414,0.0,0.0,-0.15984133660742328,0.0,0.0,29.0,0.0,1.0,0.0
100,CCC(C)[C@@H](N)C(=O)N/N=C/c1cccc2nccnc12,1.0,0.0,0.0,0.0,98.21804666368755,0.0,0.0,-0.4300276060482395,1.0,0.0,-0.23434832287705185,0.0,0.0,41.0,0.0,1.0,0.0
101,CCC(C)n1c(=N)c(C#N)cc2c(=O)n3cc(C)ccc3nc21,1.0,0.0,0.0,0.0,94.76427178556138,0.0,0.0,-0.2962863924447677,0.0,0.0,-0.1735144165817465,0.0,0.0,34.0,0.0,1.0,0.0
