,MVSA_GPR_greedy,MVSA_GPR_gpflow_greedy,MVSA_LGBM_greedy,MVSA_SVR_greedy,MVSA_DNN_greedy,Greedy Acquisition,Random Sampling
3,0.44874715261959,0.45045558086560367,0.4043280182232346,0.4533029612756264,0.3940774487471526,0.3957858769931663,0.05580865603644647
4,0.4920273348519362,0.4863325740318907,0.48006833712984054,0.5045558086560364,0.4629840546697039,0.46583143507972663,0.07289293849658314
5,0.5244874715261959,0.4874715261958998,0.5267653758542141,0.535876993166287,0.5165148063781321,0.515375854214123,0.08769931662870159
6,0.5626423690205011,0.4891799544419134,0.5552391799544419,0.5546697038724373,0.5518223234624146,0.5449886104783599,0.09908883826879271
0,,,,,,,
0,0.014236902050113895,0.014236902050113895,0.014236902050113895,0.014236902050113895,0.014236902050113895,0.014236902050113895,0.014236902050113895
1,0.1264236902050114,0.13439635535307518,0.09567198177676538,0.11958997722095673,0.08769931662870159,0.08769931662870159,0.030751708428246014
2,0.270501138952164,0.27505694760820043,0.21469248291571755,0.26480637813211844,0.2215261958997722,0.22380410022779043,0.04328018223234624
3,0.3787015945330296,0.38325740318906604,0.3365603644646925,0.3815489749430524,0.33029612756264237,0.3547835990888383,0.05808656036446469
4,0.45671981776765375,0.3969248291571754,0.40034168564920275,0.47380410022779046,0.40774487471526194,0.438496583143508,0.07175398633257403
5,0.5142369020501139,0.41970387243735763,0.4652619589977221,0.5148063781321185,0.46924829157175396,0.49373576309794986,0.08599088838268792
6,0.5449886104783599,0.42425968109339407,0.5074031890660592,0.5461275626423691,0.5250569476082004,0.5239179954441914,0.10136674259681093
0,,,,,,,
0,0.011389521640091117,0.011389521640091117,0.011389521640091117,0.011389521640091117,0.011389521640091117,0.011389521640091117,0.011389521640091117
1,0.12984054669703873,0.10990888382687927,0.1082004555808656,0.1121867881548975,0.08656036446469248,0.09965831435079726,0.029612756264236904
2,0.3354214123006834,0.3194760820045558,0.30239179954441914,0.3211845102505695,0.26993166287015946,0.26765375854214124,0.0489749430523918
3,0.428246013667426,0.42312072892938496,0.38724373576309795,0.4071753986332574,0.3906605922551253,0.3775626423690205,0.062072892938496584
4,0.48234624145785876,0.47380410022779046,0.44874715261959,0.4652619589977221,0.44362186788154895,0.45045558086560367,0.07403189066059225
5,0.5250569476082004,0.49658314350797267,0.48234624145785876,0.5193621867881549,0.4920273348519362,0.4960136674259681,0.0979498861047836
6,0.5575170842824602,0.5028473804100227,0.5233485193621867,0.5518223234624146,0.5449886104783599,0.5296127562642369,0.11161731207289294
0,,,,,,,
0,0.015375854214123007,0.015375854214123007,0.015375854214123007,0.015375854214123007,0.015375854214123007,0.015375854214123007,0.015375854214123007
1,0.20501138952164008,0.1958997722095672,0.1674259681093394,0.19020501138952164,0.16571753986332574,0.1845102505694761,0.03416856492027335
2,0.35136674259681094,0.3439635535307517,0.28815489749430523,0.35193621867881547,0.2989749430523918,0.3206150341685649,0.050683371298405465
3,0.43451025056947606,0.4265375854214123,0.39009111617312076,0.42255125284738043,0.3821184510250569,0.4031890660592255,0.0632118451025057
4,0.48405466970387245,0.45728929384965833,0.4510250569476082,0.48405466970387245,0.44703872437357633,0.4629840546697039,0.0774487471526196
5,0.520501138952164,0.4772209567198178,0.5062642369020501,0.5244874715261959,0.49316628701594534,0.4988610478359909,0.08997722095671981
6,0.556378132118451,0.4891799544419134,0.5364464692482915,0.5580865603644647,0.5392938496583144,0.5318906605922551,0.10421412300683372
0,,,,,,,
0,0.01366742596810934,0.01366742596810934,0.01366742596810934,0.01366742596810934,0.01366742596810934,0.01366742596810934,0.01366742596810934
1,0.10763097949886105,0.09624145785876993,0.08656036446469248,0.10136674259681093,0.09681093394077449,0.10250569476082004,0.03018223234624146
2,0.2733485193621868,0.2613895216400911,0.208997722095672,0.2630979498861048,0.24316628701594534,0.24772209567198178,0.04783599088838269
3,0.39749430523917995,0.3821184510250569,0.3342824601366743,0.3724373576309795,0.3542141230068337,0.3570615034168565,0.06435079726651481
4,0.4777904328018223,0.4601366742596811,0.41116173120728927,0.4675398633257403,0.4367881548974943,0.4356492027334852,0.07915717539863326
5,0.520501138952164,0.5056947608200456,0.47380410022779046,0.5239179954441914,0.49031890660592253,0.4891799544419134,0.09453302961275627
6,0.5461275626423691,0.5187927107061503,0.520501138952164,0.5518223234624146,0.5341685649202733,0.5290432801822323,0.10933940774487472
0,,,,,,,
0,0.02050113895216401,0.02050113895216401,0.02050113895216401,0.02050113895216401,0.02050113895216401,0.02050113895216401,0.02050113895216401
1,0.1856492027334852,0.16059225512528474,0.1520501138952164,0.18337129840546698,0.1304100227790433,0.13097949886104784,0.033599088838268794
2,0.3701594533029613,0.35193621867881547,0.3097949886104784,0.3707289293849658,0.30239179954441914,0.2824601366742597,0.051822323462414575
3,0.45558086560364464,0.42425968109339407,0.3917995444191344,0.4458997722095672,0.40261958997722097,0.3809794988610478,0.07118451025056947
4,0.4982915717539863,0.46981776765375854,0.4544419134396355,0.49145785876993164,0.4766514806378132,0.44817767653758545,0.07972665148063782
5,0.5449886104783599,0.49373576309794986,0.494874715261959,0.5381548974943052,0.520501138952164,0.5017084282460137,0.09908883826879271
6,0.5643507972665148,0.505125284738041,0.5239179954441914,0.5626423690205011,0.5438496583143508,0.5370159453302962,0.1133257403189066
0,,,,,,,
0,0.011958997722095672,0.011958997722095672,0.011958997722095672,0.011958997722095672,0.011958997722095672,0.011958997722095672,0.011958997722095672
1,0.18735763097949887,0.16685649202733485,0.15318906605922553,0.18166287015945332,0.14635535307517084,0.16343963553530752,0.025056947608200455
2,0.3365603644646925,0.33712984054669703,0.2887243735763098,0.3200455580865604,0.31605922551252846,0.2966970387243736,0.040432801822323464
3,0.453872437357631,0.4316628701594533,0.3952164009111617,0.43507972665148065,0.4168564920273349,0.3940774487471526,0.05296127562642369
4,0.5022779043280182,0.4356492027334852,0.4629840546697039,0.49544419134396356,0.4755125284738041,0.45899772209567197,0.06435079726651481
5,0.5404328018223234,0.4356492027334852,0.5119589977220956,0.5318906605922551,0.515375854214123,0.505125284738041,0.0734624145785877
6,0.5700455580865603,0.4390660592255125,0.5438496583143508,0.5643507972665148,0.5523917995444191,0.535876993166287,0.08826879271070615
0,,,,,,,
